,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
0,A & N Islands,2001,129.0,79.0,50.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0,0.0,0.0,14.0,4.0,0.0,17.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,16,72,11,0,27,0.0,16.0,3.0,0.0,5.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,16.0,0.0,4.0,2.0,0.0,20.0,32.0,14.0,0.0,0,93,36,0,0,129.0,129.0,129.0,129.0,129.0
1,A & N Islands,2002,144.0,91.0,53.0,0.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0,3.0,0.0,25.0,0.0,0.0,0.0,20.0,8.0,0.0,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,4,22,100,0,1,15,0.0,21.0,2.0,0.0,9.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,44.0,1.0,0.0,0.0,3.0,1.0,19.0,56.0,13.0,0.0,0,90,54,0,0,144.0,144.0,144.0,144.0,144.0
2,A & N Islands,2003,113.0,70.0,43.0,0.0,2.0,0.0,20.0,1.0,0.0,0.0,0.0,1.0,4.0,22.0,0.0,0.0,0.0,9.0,8.0,1.0,18.0,23.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0,4,5,36,59,3,0,6,10.0,0.0,1.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,3.0,2.0,0.0,15.0,42.0,10.0,12.0,0,79,34,0,0,113.0,113.0,113.0,113.0,113.0
3,A & N Islands,2004,122.0,81.0,41.0,1.0,0.0,2.0,17.0,2.0,1.0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,18.0,6.0,0.0,8.0,27.0,1.0,0.0,4.0,7.0,1.0,1.0,6.0,0,1,14,29,48,6,0,24,0.0,11.0,1.0,0.0,3.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,25.0,12.0,2.0,0.0,2.0,4.0,20.0,37.0,16.0,1.0,1,83,38,0,0,122.0,122.0,122.0,122.0,122.0
4,A & N Islands,2005,139.0,86.0,53.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,16.0,3.0,0.0,46.0,37.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0,2,5,26,51,19,0,36,19.0,0.0,1.0,0.0,5.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,32.0,6.0,0.0,0.0,0.0,5.0,13.0,51.0,12.0,12.0,0,95,43,0,1,139.0,139.0,139.0,139.0,139.0
5,A & N Islands,2006,133.0,96.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,64.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,2,12,57,10,0,52,0.0,16.0,4.0,0.0,6.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,33.0,10.0,0.0,0.0,0.0,4.0,11.0,63.0,4.0,2.0,0,76,57,0,0,133.0,133.0,133.0,133.0,133.0
6,A & N Islands,2007,156.0,100.0,56.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0,26.0,9.0,0.0,70.0,23.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0,2,13,60,40,27,0,14,0.0,19.0,5.0,0.0,3.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,30.0,23.0,0.0,0.0,3.0,0.0,10.0,40.0,17.0,12.0,0,88,68,0,0,156.0,156.0,156.0,151.0,156.0
7,A & N Islands,2008,143.0,98.0,45.0,2.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,0.0,40.0,35.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0,0,26,49,40,15,1,12,0.0,19.0,0.0,0.0,4.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,32.0,15.0,0.0,0.0,4.0,1.0,7.0,44.0,11.0,5.0,0,104,39,0,0,143.0,143.0,143.0,142.0,143.0
8,A & N Islands,2009,131.0,86.0,45.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,0.0,49.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,6,42,70,3,0,9,2.0,15.0,2.0,0.0,6.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,9.0,0.0,0.0,1.0,2.0,14.0,44.0,13.0,0.0,0,94,37,0,0,131.0,131.0,131.0,131.0,131.0
9,A & N Islands,2010,156.0,112.0,44.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,27.0,5.0,2.0,62.0,24.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0,0,21,47,37,23,0,28,21.0,2.0,2.0,0.0,5.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,31.0,3.0,0.0,0.0,8.0,6.0,19.0,50.0,14.0,17.0,1,95,53,2,5,156.0,156.0,156.0,156.0,156.0
