,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
24,Arunachal Pradesh,2001,111.0,76.0,35.0,4.0,1.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,1,1,23,30,24,1,31,1.0,9.0,3.0,1.0,4.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,15.0,0.0,0.0,0.0,1.0,12.0,14.0,41.0,8.0,3.0,0,86,22,1,2,111.0,111.0,111.0,111.0,111.0
25,Arunachal Pradesh,2002,114.0,71.0,43.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0,0,0,15,29,36,0,34,4.0,9.0,9.0,1.0,4.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,1.0,0.0,1.0,15.0,15.0,13.0,9.0,6.0,0,81,32,0,1,114.0,114.0,114.0,114.0,114.0
26,Arunachal Pradesh,2003,81.0,54.0,27.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,22,20,24,0,12,1.0,7.0,1.0,1.0,2.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,0.0,0.0,1.0,0.0,26.0,14.0,3.0,5.0,3.0,0,61,18,1,1,81.0,81.0,81.0,81.0,81.0
27,Arunachal Pradesh,2004,79.0,49.0,30.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,8,21,27,0,23,1.0,8.0,3.0,3.0,3.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,0.0,14.0,11.0,2.0,10.0,5.0,0,58,21,0,0,79.0,79.0,79.0,79.0,79.0
28,Arunachal Pradesh,2005,70.0,49.0,21.0,0.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,10,14,20,0,23,4.0,2.0,3.0,0.0,1.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,0.0,1.0,0.0,0.0,19.0,4.0,5.0,2.0,5.0,0,45,25,0,0,70.0,70.0,70.0,70.0,70.0
29,Arunachal Pradesh,2006,129.0,96.0,33.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,44,32,30,1,13,0.0,0.0,5.0,3.0,1.0,109.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,33.0,0.0,0.0,0.0,5.0,19.0,28.0,10.0,9.0,0,102,27,0,0,129.0,129.0,129.0,129.0,129.0
30,Arunachal Pradesh,2007,129.0,98.0,31.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0,2,19,9,35,37,0,27,0.0,7.0,5.0,14.0,0.0,84.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,15.0,10.0,30.0,1.0,0.0,2.0,4.0,9.0,19.0,11.0,27.0,0,82,47,0,0,129.0,129.0,129.0,128.0,129.0
31,Arunachal Pradesh,2008,110.0,77.0,33.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,14,34,22,0,39,0.0,3.0,1.0,2.0,0.0,103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,32.0,0.0,0.0,0.0,0.0,26.0,8.0,5.0,12.0,1,85,21,0,3,110.0,110.0,110.0,109.0,110.0
32,Arunachal Pradesh,2009,110.0,77.0,33.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,14,34,22,0,39,0.0,3.0,1.0,2.0,0.0,103.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,32.0,0.0,0.0,0.0,0.0,26.0,8.0,5.0,12.0,1,82,24,0,3,110.0,110.0,110.0,109.0,110.0
33,Arunachal Pradesh,2010,131.0,91.0,40.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,57.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1,1,18,37,19,22,0,33,0.0,4.0,10.0,1.0,0.0,73.0,3.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,26.0,0.0,18.0,17.0,48.0,0.0,0.0,0.0,4.0,11.0,10.0,16.0,7.0,0,95,36,0,0,131.0,131.0,131.0,131.0,131.0
