,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
36,Assam,2001,2647.0,1836.0,811.0,0.0,9.0,10.0,698.0,10.0,7.0,13.0,8.0,76.0,32.0,278.0,0.0,16.0,0.0,53.0,402.0,0.0,1.0,230.0,90.0,7.0,6.0,176.0,3.0,184.0,2.0,336.0,3,27,156,377,741,532,0,811,40.0,524.0,263.0,2.0,6.0,1279.0,2.0,1.0,103.0,1.0,0.0,307.0,41.0,1.0,3.0,6.0,68.0,167.0,394.0,967.0,68.0,86.0,6.0,223.0,47.0,159.0,191.0,334.0,33,1507,897,147,63,2647.0,2647.0,2647.0,2642.0,2647.0
37,Assam,2002,2510.0,1702.0,808.0,5.0,9.0,7.0,586.0,16.0,25.0,15.0,29.0,48.0,46.0,297.0,0.0,25.0,24.0,53.0,312.0,0.0,0.0,216.0,167.0,8.0,4.0,168.0,3.0,159.0,9.0,279.0,4,12,85,362,817,594,8,628,58.0,560.0,249.0,2.0,70.0,1215.0,0.0,8.0,25.0,0.0,226.0,0.0,3.0,0.0,4.0,58.0,32.0,271.0,485.0,887.0,42.0,72.0,6.0,259.0,18.0,91.0,117.0,262.0,69,1393,758,193,97,2510.0,2510.0,2510.0,2510.0,2510.0
38,Assam,2003,2596.0,1676.0,920.0,2.0,25.0,16.0,798.0,10.0,29.0,29.0,6.0,84.0,38.0,267.0,0.0,19.0,16.0,64.0,370.0,0.0,2.0,329.0,60.0,3.0,0.0,88.0,0.0,81.0,15.0,245.0,20,37,260,387,665,429,29,769,46.0,364.0,380.0,13.0,85.0,1108.0,21.0,21.0,14.0,6.0,0.0,391.0,29.0,0.0,0.0,88.0,30.0,187.0,381.0,1071.0,34.0,95.0,1.0,207.0,15.0,96.0,220.0,272.0,56,1204,739,294,303,2596.0,2596.0,2596.0,2579.0,2596.0
39,Assam,2004,2839.0,1945.0,894.0,4.0,15.0,32.0,765.0,13.0,16.0,25.0,0.0,106.0,10.0,290.0,0.0,12.0,23.0,30.0,444.0,0.0,3.0,241.0,104.0,3.0,1.0,229.0,2.0,209.0,11.0,251.0,14,29,274,621,790,490,28,593,21.0,474.0,404.0,9.0,64.0,1399.0,8.0,54.0,21.0,15.0,0.0,222.0,6.0,2.0,13.0,86.0,41.0,331.0,446.0,948.0,124.0,65.0,4.0,334.0,12.0,84.0,175.0,299.0,34,1575,823,324,83,2839.0,2839.0,2839.0,2822.0,2839.0
40,Assam,2005,2846.0,1951.0,895.0,23.0,97.0,50.0,790.0,15.0,27.0,1.0,9.0,98.0,43.0,276.0,7.0,10.0,33.0,29.0,411.0,0.0,4.0,231.0,168.0,7.0,13.0,194.0,1.0,208.0,22.0,79.0,47,23,171,495,847,597,2,664,4.0,462.0,344.0,1.0,21.0,1426.0,6.0,15.0,37.0,4.0,0.0,333.0,11.0,0.0,35.0,89.0,58.0,299.0,566.0,1124.0,69.0,60.0,11.0,379.0,14.0,53.0,154.0,96.0,38,1640,837,206,125,2846.0,2846.0,2846.0,2825.0,2846.0
41,Assam,2006,3031.0,2116.0,915.0,19.0,21.0,40.0,915.0,15.0,11.0,0.0,0.0,130.0,3.0,491.0,0.0,17.0,35.0,34.0,454.0,0.0,1.0,185.0,154.0,11.0,2.0,211.0,1.0,214.0,30.0,37.0,12,14,104,479,1206,602,0,614,20.0,630.0,325.0,8.0,100.0,1411.0,10.0,13.0,60.0,6.0,0.0,324.0,20.0,8.0,0.0,54.0,42.0,322.0,579.0,1102.0,138.0,53.0,10.0,513.0,17.0,46.0,210.0,41.0,34,1807,935,149,106,3031.0,3031.0,3031.0,3031.0,3031.0
42,Assam,2007,3062.0,2116.0,946.0,0.0,22.0,25.0,1048.0,12.0,14.0,7.0,1.0,99.0,20.0,356.0,0.0,10.0,1.0,42.0,429.0,0.0,9.0,248.0,240.0,0.0,43.0,118.0,73.0,199.0,18.0,28.0,22,30,185,515,1227,504,5,574,60.0,583.0,329.0,3.0,71.0,1411.0,3.0,8.0,30.0,0.0,0.0,483.0,3.0,0.0,2.0,44.0,32.0,278.0,516.0,1277.0,150.0,93.0,7.0,428.0,17.0,42.0,209.0,36.0,52,1763,950,168,129,3062.0,3062.0,3062.0,3053.0,3062.0
43,Assam,2008,2989.0,1970.0,1019.0,0.0,12.0,32.0,888.0,64.0,0.0,8.0,17.0,119.0,16.0,417.0,2.0,24.0,6.0,37.0,396.0,0.0,10.0,277.0,157.0,7.0,13.0,218.0,6.0,209.0,24.0,30.0,27,39,165,455,889,786,0,628,73.0,555.0,368.0,6.0,41.0,1256.0,6.0,22.0,21.0,2.0,0.0,480.0,26.0,2.0,10.0,60.0,61.0,197.0,573.0,1251.0,137.0,53.0,5.0,429.0,21.0,73.0,206.0,44.0,71,1725,745,262,186,2989.0,2989.0,2989.0,2989.0,2989.0
44,Assam,2009,2966.0,1882.0,1084.0,22.0,32.0,21.0,776.0,23.0,14.0,21.0,50.0,129.0,24.0,467.0,2.0,21.0,6.0,29.0,351.0,0.0,9.0,303.0,112.0,8.0,15.0,141.0,45.0,195.0,68.0,82.0,45,12,243,638,913,535,5,575,34.0,541.0,222.0,3.0,125.0,1491.0,8.0,17.0,52.0,1.0,0.0,348.0,4.0,0.0,2.0,38.0,80.0,341.0,541.0,1083.0,143.0,64.0,13.0,420.0,5.0,63.0,220.0,73.0,23,1771,970,145,57,2966.0,2966.0,2966.0,2966.0,2966.0
45,Assam,2010,2993.0,2026.0,967.0,15.0,22.0,28.0,934.0,39.0,19.0,17.0,18.0,142.0,12.0,453.0,0.0,15.0,6.0,40.0,388.0,0.0,6.0,147.0,248.0,8.0,4.0,159.0,7.0,198.0,10.0,58.0,14,23,314,535,998,589,2,518,42.0,606.0,289.0,5.0,108.0,1511.0,11.0,25.0,39.0,1.0,0.0,187.0,2.0,2.0,8.0,84.0,73.0,369.0,415.0,1073.0,146.0,118.0,10.0,441.0,19.0,73.0,247.0,82.0,33,1832,834,256,38,2993.0,2993.0,2993.0,2993.0,2993.0
