,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
48,Bihar,2001,603.0,307.0,296.0,0.0,2.0,0.0,62.0,10.0,2.0,17.0,7.0,25.0,9.0,223.0,11.0,10.0,0.0,12.0,26.0,1.0,145.0,19.0,0.0,0.0,0.0,1.0,2.0,18.0,1.0,5,14,36,108,117,225,2,96,61.0,146.0,30.0,8.0,66.0,98.0,0.0,10.0,1.0,0.0,0.0,152.0,4.0,3.0,1.0,3.0,20.0,61.0,140.0,255.0,3.0,1.0,2.0,15.0,6.0,18.0,64.0,38.0,11,332,191,26,43,603.0,603.0,603.0,603.0,603.0
49,Bihar,2002,720.0,426.0,294.0,3.0,4.0,0.0,82.0,6.0,7.0,22.0,18.0,4.0,11.0,234.0,0.0,0.0,5.0,12.0,27.0,4.0,211.0,36.0,0.0,0.0,3.0,4.0,6.0,16.0,5.0,5,5,26,98,121,290,4,171,102.0,155.0,28.0,14.0,82.0,131.0,5.0,4.0,5.0,1.0,135.0,0.0,14.0,8.0,11.0,6.0,19.0,80.0,148.0,315.0,5.0,1.0,1.0,26.0,6.0,16.0,54.0,68.0,10,464,204,17,25,720.0,720.0,720.0,720.0,720.0
50,Bihar,2003,599.0,351.0,248.0,0.0,4.0,5.0,131.0,17.0,2.0,30.0,5.0,12.0,1.0,149.0,4.0,3.0,7.0,3.0,17.0,1.0,163.0,18.0,2.0,3.0,7.0,2.0,3.0,8.0,2.0,1,24,46,108,106,202,6,106,84.0,118.0,36.0,8.0,66.0,80.0,6.0,6.0,8.0,1.0,0.0,145.0,11.0,7.0,3.0,8.0,12.0,46.0,138.0,183.0,25.0,3.0,6.0,21.0,5.0,27.0,59.0,75.0,9,372,176,21,21,599.0,599.0,599.0,588.0,599.0
51,Bihar,2004,351.0,212.0,139.0,0.0,2.0,0.0,59.0,2.0,2.0,9.0,5.0,7.0,0.0,140.0,3.0,1.0,0.0,17.0,4.0,4.0,56.0,21.0,0.0,0.0,8.0,0.0,2.0,7.0,2.0,0,1,20,62,78,129,1,60,62.0,62.0,27.0,5.0,28.0,54.0,0.0,0.0,0.0,0.0,0.0,87.0,4.0,3.0,9.0,4.0,6.0,23.0,90.0,78.0,6.0,8.0,17.0,23.0,8.0,16.0,32.0,50.0,2,234,81,2,32,351.0,351.0,351.0,351.0,351.0
52,Bihar,2005,543.0,327.0,216.0,2.0,6.0,6.0,43.0,1.0,6.0,17.0,12.0,20.0,21.0,100.0,6.0,4.0,7.0,16.0,4.0,1.0,216.0,13.0,8.0,8.0,1.0,0.0,2.0,23.0,0.0,3,10,33,103,134,159,0,101,86.0,67.0,40.0,6.0,37.0,64.0,10.0,14.0,0.0,1.0,0.0,174.0,14.0,4.0,2.0,5.0,19.0,39.0,109.0,228.0,19.0,9.0,4.0,18.0,6.0,36.0,47.0,28.0,11,386,117,7,22,543.0,543.0,543.0,543.0,543.0
53,Bihar,2006,618.0,299.0,319.0,6.0,4.0,0.0,86.0,4.0,6.0,29.0,9.0,14.0,2.0,154.0,21.0,4.0,3.0,60.0,46.0,11.0,123.0,6.0,0.0,8.0,5.0,0.0,3.0,12.0,2.0,8,19,40,120,92,218,0,121,69.0,115.0,74.0,12.0,64.0,115.0,3.0,7.0,3.0,0.0,0.0,136.0,4.0,1.0,3.0,7.0,5.0,46.0,137.0,276.0,4.0,7.0,2.0,24.0,10.0,16.0,70.0,26.0,15,348,163,34,58,618.0,618.0,618.0,618.0,618.0
54,Bihar,2007,965.0,534.0,431.0,3.0,2.0,1.0,69.0,1.0,4.0,26.0,31.0,33.0,2.0,218.0,10.0,5.0,3.0,46.0,76.0,8.0,220.0,81.0,0.0,0.0,16.0,0.0,10.0,49.0,51.0,19,44,72,193,168,266,5,198,114.0,115.0,99.0,16.0,69.0,108.0,2.0,7.0,3.0,2.0,0.0,347.0,15.0,7.0,30.0,8.0,23.0,86.0,171.0,429.0,3.0,19.0,3.0,11.0,8.0,36.0,115.0,84.0,17,556,306,18,68,965.0,965.0,965.0,965.0,965.0
55,Bihar,2008,1015.0,609.0,406.0,6.0,6.0,0.0,202.0,6.0,0.0,26.0,23.0,23.0,0.0,152.0,0.0,1.0,0.0,17.0,48.0,5.0,356.0,76.0,7.0,4.0,21.0,1.0,2.0,12.0,21.0,2,25,43,168,173,335,1,268,128.0,59.0,137.0,7.0,86.0,73.0,7.0,3.0,0.0,2.0,0.0,439.0,31.0,3.0,11.0,0.0,29.0,67.0,174.0,562.0,5.0,23.0,15.0,15.0,8.0,35.0,58.0,53.0,25,617,281,39,53,1015.0,1015.0,1015.0,1015.0,1015.0
56,Bihar,2009,1051.0,514.0,537.0,1.0,30.0,6.0,164.0,2.0,6.0,135.0,23.0,28.0,4.0,115.0,0.0,4.0,1.0,18.0,43.0,0.0,372.0,41.0,1.0,0.0,4.0,0.0,4.0,46.0,3.0,1,14,76,138,252,321,3,246,166.0,170.0,119.0,5.0,135.0,167.0,6.0,2.0,4.0,5.0,0.0,209.0,14.0,28.0,1.0,4.0,16.0,112.0,314.0,389.0,25.0,8.0,0.0,24.0,3.0,57.0,68.0,51.0,8,716,267,3,57,1051.0,1051.0,1051.0,1051.0,1051.0
57,Bihar,2010,1226.0,712.0,514.0,11.0,38.0,0.0,139.0,4.0,0.0,71.0,33.0,52.0,0.0,126.0,0.0,11.0,0.0,30.0,77.0,2.0,544.0,31.0,6.0,3.0,0.0,4.0,3.0,32.0,9.0,18,46,78,158,242,463,3,218,162.0,86.0,98.0,7.0,111.0,114.0,23.0,7.0,2.0,13.0,0.0,518.0,22.0,23.0,8.0,0.0,32.0,95.0,204.0,669.0,5.0,2.0,3.0,16.0,21.0,49.0,74.0,88.0,20,778,304,71,53,1226.0,1226.0,1226.0,1226.0,1226.0
