,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
60,Chandigarh,2001,70.0,39.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,2,8,14,18,18,0,10,0.0,9.0,3.0,0.0,18.0,30.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,31.0,0.0,0.0,1.0,1.0,3.0,8.0,6.0,1.0,0,59,11,0,0,70.0,70.0,70.0,70.0,70.0
61,Chandigarh,2002,87.0,53.0,34.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,2.0,1.0,26.0,0.0,1.0,0.0,14.0,9.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,4,16,23,19,10,0,15,0.0,40.0,3.0,1.0,7.0,31.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,33.0,0.0,0.0,0.0,1.0,3.0,13.0,9.0,7.0,0,56,31,0,0,87.0,87.0,87.0,87.0,87.0
62,Chandigarh,2003,103.0,68.0,35.0,2.0,1.0,0.0,9.0,0.0,0.0,3.0,4.0,2.0,0.0,32.0,0.0,0.0,0.0,13.0,2.0,1.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,4,5,48,17,14,0,15,0.0,36.0,0.0,3.0,10.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,22.0,14.0,2.0,0.0,2.0,0.0,9.0,25.0,12.0,15.0,0,72,31,0,0,103.0,103.0,103.0,103.0,103.0
63,Chandigarh,2004,75.0,52.0,23.0,0.0,0.0,0.0,13.0,0.0,1.0,2.0,5.0,7.0,1.0,16.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0,8,7,29,8,13,1,9,3.0,13.0,0.0,0.0,7.0,46.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,1.0,0.0,0.0,4.0,4.0,11.0,13.0,13.0,0,47,28,0,0,75.0,75.0,75.0,75.0,75.0
64,Chandigarh,2005,89.0,63.0,26.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,5.0,3.0,4.0,29.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0,5,1,37,18,20,1,7,0.0,16.0,13.0,1.0,15.0,39.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0,5.0,0.0,11.0,3.0,18.0,6.0,17.0,0,52,37,0,0,89.0,89.0,89.0,89.0,89.0
65,Chandigarh,2006,80.0,56.0,24.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,1.0,2.0,0.0,20.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,1,12,21,25,10,3,0,8,0.0,12.0,6.0,5.0,5.0,49.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0,15.0,20.0,25.0,0,39,41,0,0,80.0,80.0,80.0,80.0,80.0
66,Chandigarh,2007,82.0,60.0,22.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,8.0,0.0,39.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1,10,15,31,15,3,0,7,0.0,8.0,0.0,1.0,6.0,61.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,0.0,0.0,2.0,3.0,5.0,17.0,15.0,10.0,0,61,21,0,0,82.0,82.0,82.0,80.0,82.0
67,Chandigarh,2008,83.0,58.0,25.0,6.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,5.0,1.0,29.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0,8,15,23,21,7,1,8,15.0,1.0,0.0,4.0,7.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,2.0,8.0,3.0,18.0,11.0,23.0,1,57,25,0,0,83.0,83.0,83.0,83.0,83.0
68,Chandigarh,2009,75.0,44.0,31.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,1.0,8.0,1.0,31.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0,11,7,46,4,2,3,2,0.0,19.0,0.0,1.0,6.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,12.0,1.0,3.0,7.0,6.0,18.0,7.0,0,50,25,0,0,75.0,75.0,75.0,74.0,75.0
69,Chandigarh,2010,71.0,31.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,6.0,0.0,15.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1,9,9,22,19,3,1,7,0.0,15.0,2.0,0.0,11.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,0.0,2.0,1.0,1.0,4.0,10.0,14.0,8.0,0,44,27,0,0,71.0,71.0,71.0,71.0,71.0
70,Chandigarh,2011,105.0,57.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,13,12,53,18,2,0,7,0.0,22.0,6.0,1.0,13.0,54.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,28.0,25.0,0.0,0.0,0.0,3.0,3.0,20.0,14.0,12.0,0,65,40,0,0,105.0,105.0,105.0,105.0,105.0
71,Chandigarh,2012,114.0,75.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,0,17,14,54,15,8,0,6,0.0,13.0,1.0,2.0,16.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,5.0,0.0,3.0,8.0,29.0,17.0,13.0,1,67,46,0,0,114.0,114.0,114.0,111.0,114.0
