,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
72,Chhattisgarh,2001,4025.0,2640.0,1385.0,83.0,13.0,11.0,1180.0,10.0,4.0,61.0,83.0,63.0,50.0,485.0,1.0,9.0,52.0,233.0,138.0,36.0,811.0,500.0,39.0,21.0,40.0,4.0,12.0,69.0,17.0,53,43,308,611,944,1021,9,1036,1000.0,375.0,116.0,4.0,335.0,1800.0,2.0,2.0,35.0,5.0,0.0,198.0,57.0,8.0,2.0,65.0,21.0,1452.0,606.0,1017.0,36.0,65.0,13.0,68.0,70.0,177.0,229.0,218.0,16,2993,830,17,169,4025.0,4025.0,4025.0,3951.0,4025.0
73,Chhattisgarh,2002,3950.0,2629.0,1321.0,39.0,15.0,11.0,1283.0,27.0,2.0,51.0,47.0,47.0,52.0,476.0,4.0,13.0,49.0,233.0,100.0,23.0,799.0,555.0,19.0,15.0,31.0,7.0,4.0,33.0,15.0,6,15,249,759,861,1080,13,967,956.0,295.0,170.0,6.0,267.0,1629.0,11.0,0.0,37.0,5.0,393.0,0.0,48.0,3.0,35.0,67.0,28.0,1238.0,585.0,1322.0,52.0,91.0,7.0,64.0,64.0,124.0,191.0,212.0,32,2902,793,17,206,3950.0,3950.0,3950.0,3950.0,3950.0
74,Chhattisgarh,2003,3919.0,2592.0,1327.0,37.0,12.0,2.0,1073.0,108.0,1.0,46.0,98.0,41.0,22.0,497.0,1.0,9.0,25.0,199.0,89.0,14.0,1149.0,383.0,7.0,7.0,26.0,7.0,17.0,28.0,21.0,5,33,197,570,818,1210,3,1083,631.0,421.0,279.0,3.0,244.0,1639.0,40.0,9.0,17.0,3.0,0.0,350.0,63.0,2.0,2.0,137.0,79.0,1066.0,551.0,1521.0,128.0,26.0,4.0,57.0,57.0,120.0,205.0,184.0,5,2700,856,22,336,3919.0,3919.0,3919.0,3919.0,3919.0
75,Chhattisgarh,2004,4495.0,2986.0,1509.0,46.0,13.0,3.0,1383.0,17.0,2.0,57.0,42.0,46.0,17.0,697.0,0.0,3.0,1.0,246.0,117.0,23.0,1110.0,563.0,14.0,12.0,24.0,10.0,4.0,33.0,12.0,6,32,194,616,1140,1359,7,1141,903.0,469.0,147.0,6.0,311.0,2014.0,7.0,0.0,42.0,2.0,0.0,433.0,26.0,0.0,7.0,117.0,11.0,1395.0,777.0,1700.0,53.0,16.0,0.0,45.0,37.0,82.0,226.0,164.0,11,3275,1014,55,140,4495.0,4495.0,4495.0,4495.0,4495.0
76,Chhattisgarh,2005,4881.0,3305.0,1576.0,55.0,42.0,44.0,1363.0,33.0,2.0,66.0,133.0,36.0,33.0,642.0,10.0,6.0,53.0,308.0,79.0,38.0,1286.0,494.0,35.0,16.0,15.0,3.0,17.0,61.0,11.0,25,62,316,568,1078,1448,19,1365,940.0,312.0,208.0,194.0,361.0,1864.0,0.0,0.0,30.0,12.0,0.0,662.0,119.0,0.0,8.0,126.0,45.0,1412.0,891.0,1504.0,140.0,48.0,12.0,174.0,64.0,195.0,188.0,253.0,25,3802,851,43,160,4881.0,4881.0,4881.0,4881.0,4881.0
77,Chhattisgarh,2006,4626.0,3060.0,1566.0,42.0,11.0,14.0,1658.0,11.0,4.0,53.0,113.0,38.0,25.0,686.0,0.0,7.0,0.0,234.0,97.0,11.0,925.0,566.0,8.0,28.0,40.0,14.0,5.0,23.0,13.0,4,44,233,586,1029,1534,2,1194,978.0,242.0,91.0,1.0,404.0,1830.0,3.0,0.0,19.0,27.0,0.0,872.0,41.0,0.0,2.0,88.0,28.0,1483.0,772.0,1620.0,83.0,17.0,1.0,135.0,35.0,136.0,192.0,152.0,0,3263,1197,13,153,4626.0,4626.0,4626.0,4626.0,4626.0
78,Chhattisgarh,2007,4839.0,3256.0,1583.0,58.0,17.0,7.0,1668.0,12.0,2.0,32.0,124.0,41.0,37.0,652.0,3.0,4.0,13.0,215.0,106.0,11.0,1141.0,519.0,8.0,41.0,22.0,25.0,8.0,33.0,40.0,12,45,315,652,1275,1068,3,1469,1018.0,399.0,196.0,294.0,386.0,1751.0,33.0,0.0,11.0,0.0,0.0,557.0,82.0,1.0,1.0,70.0,40.0,1593.0,848.0,1387.0,109.0,24.0,2.0,135.0,38.0,233.0,279.0,191.0,5,3699,973,15,147,4839.0,4839.0,4839.0,4839.0,4839.0
79,Chhattisgarh,2008,4945.0,3248.0,1697.0,32.0,13.0,6.0,1613.0,38.0,2.0,60.0,165.0,53.0,40.0,960.0,0.0,4.0,32.0,258.0,143.0,18.0,729.0,587.0,32.0,55.0,14.0,38.0,12.0,18.0,23.0,16,38,403,832,1432,680,7,1537,989.0,448.0,193.0,5.0,726.0,2156.0,7.0,0.0,52.0,0.0,0.0,135.0,70.0,12.0,37.0,97.0,18.0,1773.0,937.0,1180.0,93.0,10.0,2.0,157.0,45.0,201.0,370.0,177.0,10,3579,1077,38,241,4945.0,4945.0,4945.0,4945.0,4945.0
80,Chhattisgarh,2009,5883.0,3954.0,1929.0,28.0,16.0,11.0,1916.0,22.0,11.0,59.0,182.0,43.0,100.0,644.0,1.0,1.0,71.0,251.0,84.0,14.0,1600.0,659.0,8.0,63.0,6.0,33.0,15.0,26.0,19.0,12,32,359,865,1536,1586,5,1488,1040.0,657.0,189.0,9.0,619.0,2188.0,5.0,31.0,67.0,12.0,0.0,826.0,67.0,4.0,1.0,83.0,85.0,1802.0,902.0,1642.0,137.0,17.0,9.0,108.0,48.0,294.0,435.0,489.0,9,4471,1154,25,224,5883.0,5883.0,5883.0,5883.0,5883.0
81,Chhattisgarh,2010,6522.0,4545.0,1977.0,33.0,10.0,4.0,2421.0,12.0,4.0,70.0,203.0,45.0,33.0,785.0,1.0,2.0,11.0,264.0,114.0,15.0,1617.0,675.0,4.0,66.0,12.0,28.0,26.0,42.0,25.0,8,50,294,918,1785,1653,8,1806,1208.0,451.0,73.0,8.0,552.0,2314.0,6.0,5.0,46.0,0.0,0.0,1431.0,57.0,0.0,198.0,149.0,24.0,1126.0,862.0,2743.0,235.0,44.0,1.0,104.0,40.0,331.0,377.0,612.0,4,4274,2022,13,209,6522.0,6522.0,6522.0,6475.0,6522.0
