,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
108,Delhi (Ut),2001,1239.0,730.0,509.0,37.0,7.0,3.0,458.0,11.0,1.0,30.0,18.0,23.0,6.0,326.0,2.0,2.0,4.0,17.0,28.0,0.0,8.0,52.0,68.0,2.0,4.0,63.0,9.0,9.0,5.0,46.0,10,26,128,243,372,244,4,212,119.0,187.0,16.0,24.0,190.0,581.0,9.0,9.0,9.0,0.0,0.0,61.0,14.0,2.0,12.0,3.0,3.0,18.0,327.0,314.0,12.0,20.0,1.0,23.0,31.0,160.0,104.0,229.0,1,873,316,28,21,1239.0,1239.0,1239.0,1239.0,1239.0
109,Delhi (Ut),2002,1053.0,643.0,410.0,18.0,13.0,3.0,291.0,4.0,3.0,51.0,24.0,35.0,8.0,348.0,0.0,4.0,1.0,24.0,37.0,4.0,0.0,45.0,63.0,1.0,4.0,27.0,10.0,3.0,6.0,26.0,8,25,93,267,229,221,5,205,129.0,193.0,11.0,11.0,152.0,484.0,11.0,6.0,1.0,1.0,6.0,0.0,9.0,5.0,7.0,17.0,10.0,33.0,250.0,165.0,11.0,9.0,6.0,46.0,32.0,136.0,105.0,260.0,3,708,282,36,24,1053.0,1053.0,1053.0,1053.0,1053.0
110,Delhi (Ut),2003,1153.0,741.0,412.0,10.0,14.0,5.0,331.0,3.0,3.0,43.0,18.0,37.0,2.0,327.0,0.0,0.0,0.0,20.0,27.0,0.0,2.0,154.0,88.0,0.0,4.0,26.0,0.0,3.0,5.0,31.0,9,33,138,246,278,189,1,259,58.0,197.0,5.0,61.0,107.0,538.0,53.0,5.0,6.0,0.0,0.0,80.0,8.0,4.0,4.0,14.0,13.0,8.0,221.0,311.0,7.0,11.0,0.0,25.0,31.0,128.0,117.0,294.0,4,743,354,42,10,1153.0,1153.0,1153.0,1153.0,1153.0
111,Delhi (Ut),2004,1256.0,799.0,457.0,9.0,9.0,2.0,373.0,2.0,11.0,52.0,20.0,45.0,11.0,298.0,3.0,0.0,0.0,27.0,25.0,0.0,1.0,167.0,103.0,0.0,2.0,47.0,7.0,2.0,8.0,32.0,8,27,99,325,361,203,5,228,31.0,181.0,9.0,15.0,104.0,683.0,2.0,15.0,12.0,0.0,0.0,195.0,1.0,1.0,6.0,0.0,1.0,13.0,266.0,272.0,5.0,15.0,2.0,31.0,14.0,205.0,110.0,320.0,2,778,438,26,12,1256.0,1256.0,1256.0,1253.0,1256.0
112,Delhi (Ut),2005,1245.0,777.0,468.0,12.0,5.0,0.0,397.0,6.0,0.0,55.0,19.0,27.0,34.0,346.0,1.0,0.0,2.0,19.0,48.0,0.0,1.0,112.0,82.0,1.0,0.0,27.0,8.0,5.0,3.0,35.0,5,35,108,296,250,285,4,262,50.0,152.0,21.0,21.0,96.0,745.0,20.0,10.0,2.0,0.0,0.0,97.0,8.0,3.0,4.0,7.0,9.0,7.0,294.0,351.0,6.0,5.0,3.0,16.0,40.0,183.0,98.0,241.0,0,802,368,61,14,1245.0,1245.0,1245.0,1244.0,1245.0
113,Delhi (Ut),2006,1492.0,960.0,532.0,14.0,7.0,2.0,611.0,6.0,1.0,69.0,22.0,22.0,16.0,358.0,0.0,1.0,8.0,36.0,54.0,0.0,0.0,82.0,84.0,1.0,0.0,25.0,9.0,14.0,6.0,44.0,53,50,163,292,385,285,5,259,94.0,153.0,10.0,8.0,144.0,899.0,36.0,14.0,13.0,1.0,0.0,80.0,15.0,6.0,8.0,4.0,7.0,3.0,331.0,350.0,4.0,25.0,17.0,29.0,31.0,265.0,118.0,317.0,1,1014,399,68,10,1492.0,1492.0,1492.0,1490.0,1492.0
114,Delhi (Ut),2007,1481.0,966.0,515.0,22.0,13.0,1.0,581.0,4.0,1.0,71.0,18.0,43.0,7.0,323.0,7.0,0.0,2.0,21.0,49.0,0.0,0.0,171.0,67.0,0.0,0.0,24.0,5.0,4.0,7.0,40.0,12,48,190,347,362,269,2,251,44.0,189.0,5.0,19.0,93.0,915.0,22.0,9.0,1.0,4.0,0.0,162.0,1.0,3.0,8.0,0.0,6.0,23.0,263.0,491.0,5.0,14.0,5.0,17.0,28.0,248.0,135.0,252.0,2,995,415,55,14,1481.0,1481.0,1481.0,1481.0,1481.0
115,Delhi (Ut),2008,1303.0,795.0,508.0,29.0,17.0,3.0,441.0,10.0,0.0,47.0,21.0,61.0,8.0,274.0,1.0,3.0,16.0,23.0,63.0,0.0,3.0,108.0,60.0,1.0,1.0,23.0,16.0,18.0,8.0,48.0,10,48,181,339,301,185,10,229,52.0,182.0,1.0,9.0,93.0,861.0,29.0,1.0,2.0,0.0,0.0,54.0,11.0,3.0,1.0,1.0,3.0,16.0,276.0,284.0,7.0,38.0,2.0,21.0,15.0,213.0,175.0,252.0,6,825,373,45,54,1303.0,1303.0,1303.0,1299.0,1303.0
116,Delhi (Ut),2009,1477.0,933.0,544.0,17.0,25.0,1.0,419.0,6.0,4.0,48.0,37.0,48.0,3.0,332.0,0.0,0.0,2.0,20.0,60.0,0.0,3.0,238.0,77.0,0.0,0.0,34.0,27.0,6.0,12.0,58.0,12,50,165,391,363,252,15,229,35.0,206.0,8.0,15.0,102.0,922.0,20.0,6.0,9.0,0.0,0.0,129.0,9.0,2.0,3.0,1.0,10.0,5.0,323.0,376.0,13.0,26.0,7.0,31.0,20.0,231.0,165.0,280.0,5,972,400,63,37,1477.0,1477.0,1477.0,1477.0,1477.0
117,Delhi (Ut),2010,1543.0,961.0,582.0,16.0,16.0,4.0,603.0,16.0,2.0,34.0,24.0,42.0,34.0,339.0,0.0,0.0,7.0,18.0,58.0,0.0,3.0,179.0,43.0,0.0,4.0,35.0,9.0,9.0,8.0,40.0,13,63,211,357,359,234,23,283,111.0,153.0,38.0,15.0,90.0,976.0,5.0,11.0,13.0,0.0,0.0,98.0,15.0,0.0,4.0,6.0,8.0,9.0,352.0,410.0,4.0,44.0,4.0,32.0,18.0,223.0,166.0,279.0,14,1016,428,62,23,1543.0,1543.0,1543.0,1541.0,1543.0
