,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
120,Goa,2001,256.0,167.0,89.0,2.0,0.0,1.0,56.0,1.0,0.0,3.0,0.0,2.0,0.0,41.0,0.0,1.0,2.0,62.0,10.0,2.0,44.0,14.0,3.0,0.0,2.0,3.0,2.0,0.0,5.0,0,0,6,42,76,74,0,58,6.0,25.0,63.0,3.0,29.0,108.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,4.0,5.0,0.0,18.0,55.0,43.0,2.0,0.0,3.0,10.0,6.0,52.0,13.0,54.0,0,153,89,5,9,256.0,256.0,256.0,256.0,256.0
121,Goa,2002,309.0,226.0,83.0,5.0,1.0,0.0,71.0,0.0,0.0,1.0,0.0,4.0,2.0,43.0,0.0,0.0,0.0,43.0,17.0,6.0,42.0,26.0,7.0,0.0,0.0,6.0,4.0,3.0,28.0,2,4,11,63,101,60,2,66,13.0,41.0,50.0,0.0,24.0,140.0,4.0,7.0,1.0,0.0,22.0,0.0,2.0,1.0,1.0,3.0,0.0,11.0,42.0,74.0,2.0,4.0,5.0,11.0,7.0,63.0,17.0,73.0,0,169,131,1,8,309.0,309.0,309.0,309.0,309.0
122,Goa,2003,300.0,213.0,87.0,7.0,0.0,0.0,74.0,1.0,0.0,1.0,2.0,5.0,0.0,43.0,0.0,0.0,0.0,62.0,19.0,0.0,28.0,33.0,0.0,0.0,1.0,3.0,2.0,1.0,18.0,1,6,17,72,85,62,3,54,18.0,17.0,71.0,1.0,34.0,138.0,3.0,1.0,2.0,0.0,0.0,7.0,3.0,1.0,0.0,4.0,0.0,18.0,49.0,54.0,3.0,1.0,0.0,18.0,8.0,72.0,19.0,58.0,0,168,124,0,8,300.0,300.0,300.0,300.0,300.0
123,Goa,2004,314.0,212.0,102.0,8.0,1.0,1.0,90.0,0.0,0.0,0.0,1.0,6.0,0.0,39.0,0.0,0.0,2.0,52.0,24.0,2.0,53.0,19.0,0.0,0.0,1.0,2.0,1.0,4.0,8.0,0,6,30,72,72,70,3,61,12.0,31.0,62.0,0.0,17.0,159.0,2.0,1.0,0.0,0.0,0.0,22.0,0.0,2.0,2.0,4.0,0.0,8.0,55.0,81.0,2.0,13.0,3.0,14.0,10.0,46.0,23.0,59.0,0,188,121,1,4,314.0,314.0,314.0,314.0,314.0
124,Goa,2005,282.0,197.0,85.0,4.0,0.0,2.0,80.0,2.0,0.0,1.0,3.0,3.0,0.0,30.0,0.0,0.0,2.0,56.0,16.0,2.0,44.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,1,14,33,57,68,57,4,48,4.0,20.0,17.0,2.0,18.0,154.0,1.0,2.0,0.0,0.0,0.0,7.0,44.0,2.0,2.0,7.0,2.0,11.0,47.0,71.0,1.0,6.0,5.0,9.0,7.0,52.0,15.0,58.0,0,164,114,1,3,282.0,282.0,282.0,282.0,282.0
125,Goa,2006,275.0,183.0,92.0,9.0,1.0,1.0,72.0,2.0,3.0,1.0,3.0,5.0,45.0,1.0,0.0,0.0,1.0,52.0,11.0,3.0,33.0,21.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,0,5,21,52,92,53,0,52,17.0,22.0,58.0,0.0,21.0,133.0,0.0,1.0,2.0,0.0,0.0,13.0,0.0,0.0,3.0,4.0,1.0,5.0,51.0,63.0,0.0,0.0,8.0,9.0,3.0,53.0,20.0,63.0,0,157,110,0,8,275.0,275.0,275.0,275.0,275.0
126,Goa,2007,270.0,178.0,92.0,6.0,0.0,2.0,79.0,0.0,0.0,2.0,5.0,5.0,0.0,44.0,0.0,0.0,5.0,46.0,14.0,0.0,16.0,24.0,0.0,0.0,6.0,6.0,0.0,3.0,7.0,1,9,26,51,69,56,1,57,28.0,15.0,57.0,0.0,19.0,132.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,59.0,15.0,1.0,0.0,10.0,16.0,6.0,64.0,18.0,81.0,0,169,94,0,7,270.0,270.0,270.0,270.0,270.0
127,Goa,2008,287.0,183.0,104.0,0.0,0.0,1.0,77.0,2.0,0.0,0.0,5.0,1.0,0.0,35.0,0.0,1.0,1.0,44.0,15.0,2.0,55.0,22.0,0.0,0.0,4.0,1.0,0.0,2.0,19.0,2,3,38,56,84,47,7,50,8.0,17.0,51.0,3.0,17.0,162.0,0.0,9.0,0.0,0.0,0.0,10.0,2.0,4.0,0.0,4.0,0.0,6.0,65.0,47.0,1.0,0.0,2.0,12.0,4.0,63.0,12.0,71.0,9,169,99,6,4,287.0,287.0,287.0,283.0,287.0
128,Goa,2009,278.0,184.0,94.0,6.0,1.0,0.0,49.0,3.0,0.0,2.0,11.0,0.0,0.0,50.0,0.0,0.0,0.0,52.0,10.0,1.0,46.0,27.0,0.0,0.0,5.0,3.0,0.0,1.0,11.0,4,4,33,61,72,53,8,43,11.0,10.0,39.0,0.0,32.0,160.0,5.0,4.0,0.0,0.0,0.0,13.0,1.0,3.0,0.0,0.0,0.0,4.0,60.0,54.0,5.0,3.0,4.0,6.0,10.0,50.0,15.0,59.0,7,157,101,7,6,278.0,278.0,278.0,270.0,278.0
129,Goa,2010,322.0,236.0,86.0,8.0,0.0,1.0,69.0,1.0,1.0,1.0,6.0,5.0,1.0,53.0,0.0,0.0,0.0,52.0,18.0,3.0,54.0,30.0,1.0,0.0,4.0,2.0,0.0,0.0,12.0,1,10,31,85,87,58,8,42,8.0,34.0,55.0,0.0,17.0,180.0,0.0,4.0,1.0,0.0,0.0,13.0,1.0,2.0,2.0,5.0,0.0,15.0,52.0,75.0,1.0,2.0,3.0,11.0,9.0,70.0,23.0,61.0,1,182,115,18,6,322.0,322.0,322.0,322.0,322.0
