,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
132,Gujarat,2001,4791.0,2649.0,2142.0,154.0,78.0,31.0,736.0,69.0,16.0,41.0,14.0,85.0,80.0,1291.0,0.0,2.0,11.0,411.0,178.0,0.0,68.0,164.0,678.0,18.0,16.0,164.0,54.0,41.0,55.0,336.0,15,39,170,753,969,1126,12,1707,1076.0,1139.0,257.0,3.0,915.0,928.0,32.0,10.0,40.0,3.0,0.0,100.0,8.0,34.0,60.0,169.0,17.0,594.0,1568.0,580.0,352.0,107.0,99.0,256.0,70.0,404.0,264.0,497.0,25,3510,1030,28,198,4791.0,4791.0,4791.0,4791.0,4791.0
133,Gujarat,2002,4644.0,2706.0,1938.0,132.0,83.0,46.0,866.0,37.0,20.0,32.0,46.0,80.0,95.0,958.0,5.0,4.0,13.0,428.0,207.0,79.0,0.0,252.0,593.0,31.0,10.0,161.0,68.0,40.0,55.0,303.0,23,55,207,694,802,1059,10,1794,1023.0,1094.0,261.0,15.0,848.0,1041.0,19.0,9.0,16.0,1.0,98.0,0.0,4.0,36.0,10.0,161.0,8.0,570.0,1461.0,620.0,363.0,80.0,96.0,262.0,43.0,350.0,269.0,526.0,26,3333,1051,46,188,4644.0,4644.0,4644.0,4640.0,4644.0
134,Gujarat,2003,4566.0,2650.0,1916.0,129.0,79.0,29.0,863.0,57.0,22.0,13.0,23.0,58.0,81.0,805.0,15.0,1.0,16.0,518.0,161.0,0.0,54.0,428.0,598.0,70.0,49.0,137.0,62.0,39.0,37.0,222.0,17,55,208,612,803,1143,12,1716,1120.0,884.0,246.0,12.0,840.0,1088.0,32.0,15.0,21.0,1.0,0.0,111.0,10.0,19.0,18.0,141.0,8.0,581.0,1374.0,718.0,390.0,47.0,123.0,228.0,76.0,381.0,187.0,461.0,62,3358,874,49,223,4566.0,4566.0,4566.0,4566.0,4566.0
135,Gujarat,2004,4776.0,2850.0,1926.0,116.0,99.0,21.0,828.0,54.0,32.0,57.0,20.0,77.0,110.0,837.0,3.0,8.0,14.0,521.0,186.0,0.0,71.0,528.0,591.0,16.0,31.0,128.0,79.0,34.0,64.0,251.0,16,48,212,675,717,1299,10,1799,1132.0,846.0,373.0,33.0,827.0,1135.0,32.0,29.0,12.0,1.0,0.0,115.0,6.0,29.0,22.0,161.0,23.0,523.0,1360.0,900.0,386.0,43.0,102.0,240.0,66.0,420.0,247.0,477.0,68,3446,965,92,205,4776.0,4776.0,4776.0,4764.0,4776.0
136,Gujarat,2005,4765.0,2902.0,1863.0,126.0,76.0,35.0,835.0,67.0,29.0,29.0,19.0,76.0,111.0,869.0,9.0,5.0,11.0,515.0,191.0,0.0,58.0,548.0,657.0,37.0,28.0,71.0,58.0,29.0,37.0,239.0,15,49,219,655,787,1120,37,1883,881.0,991.0,390.0,12.0,711.0,1249.0,29.0,13.0,8.0,0.0,0.0,174.0,4.0,26.0,19.0,239.0,19.0,615.0,1320.0,828.0,333.0,70.0,132.0,269.0,77.0,484.0,225.0,412.0,48,3386,944,103,284,4765.0,4765.0,4765.0,4765.0,4765.0
137,Gujarat,2006,5035.0,3048.0,1987.0,129.0,84.0,41.0,1117.0,79.0,35.0,60.0,19.0,78.0,90.0,922.0,6.0,2.0,11.0,515.0,177.0,0.0,57.0,441.0,614.0,19.0,33.0,80.0,71.0,58.0,44.0,253.0,13,49,202,689,879,1253,16,1934,1302.0,802.0,396.0,8.0,807.0,1271.0,34.0,12.0,58.0,1.0,0.0,164.0,2.0,15.0,9.0,143.0,11.0,487.0,1396.0,980.0,399.0,56.0,170.0,263.0,54.0,531.0,240.0,456.0,77,3453,1131,98,276,5035.0,5035.0,5035.0,5032.0,5035.0
138,Gujarat,2007,5580.0,3375.0,2205.0,93.0,90.0,50.0,1184.0,46.0,27.0,47.0,33.0,69.0,83.0,1016.0,18.0,3.0,32.0,632.0,150.0,0.0,46.0,594.0,812.0,25.0,24.0,125.0,82.0,23.0,78.0,198.0,24,98,287,887,1048,1191,7,2038,1373.0,827.0,543.0,5.0,830.0,1406.0,65.0,22.0,9.0,10.0,0.0,142.0,35.0,36.0,13.0,233.0,31.0,317.0,1613.0,1025.0,491.0,155.0,224.0,276.0,105.0,571.0,303.0,500.0,96,4000,1096,131,257,5580.0,5580.0,5580.0,5580.0,5580.0
139,Gujarat,2008,6165.0,3735.0,2430.0,183.0,126.0,44.0,1128.0,62.0,39.0,47.0,57.0,105.0,85.0,1220.0,11.0,0.0,38.0,649.0,184.0,0.0,60.0,768.0,696.0,57.0,18.0,123.0,98.0,27.0,89.0,251.0,16,89,323,970,1197,1393,8,2169,1485.0,992.0,511.0,5.0,947.0,1599.0,35.0,14.0,11.0,3.0,0.0,117.0,13.0,89.0,19.0,293.0,32.0,526.0,1744.0,1324.0,428.0,127.0,187.0,290.0,62.0,608.0,304.0,558.0,85,4477,1259,101,243,6165.0,6165.0,6165.0,6158.0,6165.0
140,Gujarat,2009,6156.0,3671.0,2485.0,180.0,142.0,58.0,1058.0,40.0,35.0,50.0,32.0,99.0,163.0,1361.0,3.0,10.0,24.0,646.0,200.0,0.0,61.0,542.0,781.0,43.0,7.0,137.0,85.0,21.0,83.0,295.0,28,84,328,974,1218,1273,7,2244,1454.0,1149.0,441.0,4.0,1041.0,1535.0,40.0,32.0,16.0,3.0,0.0,92.0,14.0,47.0,1.0,270.0,17.0,588.0,1736.0,1103.0,552.0,115.0,118.0,338.0,69.0,629.0,328.0,579.0,107,4493,1196,87,273,6156.0,6156.0,6156.0,6155.0,6156.0
141,Gujarat,2010,6207.0,3813.0,2394.0,124.0,116.0,48.0,1246.0,56.0,23.0,43.0,29.0,85.0,46.0,1127.0,6.0,2.0,31.0,608.0,180.0,0.0,56.0,1049.0,733.0,27.0,9.0,63.0,87.0,21.0,109.0,283.0,24,107,381,929,1248,1318,17,2183,1624.0,960.0,436.0,13.0,919.0,1542.0,56.0,25.0,36.0,2.0,0.0,229.0,4.0,9.0,35.0,292.0,25.0,523.0,1575.0,1451.0,340.0,101.0,151.0,467.0,75.0,622.0,293.0,609.0,107,4296,1375,116,313,6207.0,6207.0,6207.0,6207.0,6207.0
