,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
156,Himachal Pradesh,2001,307.0,177.0,130.0,0.0,2.0,0.0,56.0,4.0,0.0,11.0,0.0,11.0,1.0,89.0,0.0,0.0,1.0,18.0,12.0,3.0,45.0,22.0,0.0,0.0,16.0,3.0,4.0,3.0,6.0,1,7,11,100,60,52,3,73,106.0,115.0,9.0,2.0,12.0,37.0,1.0,4.0,1.0,0.0,0.0,9.0,3.0,0.0,0.0,4.0,4.0,22.0,84.0,89.0,3.0,7.0,1.0,9.0,11.0,24.0,19.0,38.0,6,220,70,7,4,307.0,307.0,307.0,307.0,307.0
157,Himachal Pradesh,2002,334.0,208.0,126.0,2.0,7.0,0.0,43.0,0.0,1.0,6.0,6.0,12.0,0.0,81.0,1.0,2.0,9.0,24.0,13.0,4.0,89.0,20.0,0.0,1.0,7.0,2.0,0.0,4.0,0.0,1,4,33,122,65,46,2,61,125.0,99.0,19.0,3.0,10.0,42.0,0.0,7.0,2.0,0.0,16.0,0.0,6.0,2.0,2.0,0.0,1.0,25.0,83.0,93.0,13.0,5.0,0.0,30.0,13.0,12.0,31.0,29.0,2,233,84,4,11,334.0,334.0,334.0,334.0,334.0
158,Himachal Pradesh,2003,386.0,240.0,146.0,4.0,5.0,1.0,67.0,1.0,0.0,5.0,1.0,11.0,1.0,64.0,0.0,0.0,0.0,42.0,21.0,4.0,103.0,23.0,0.0,0.0,3.0,6.0,10.0,12.0,2.0,5,11,59,107,84,51,1,68,32.0,189.0,29.0,3.0,8.0,52.0,4.0,9.0,0.0,0.0,0.0,56.0,2.0,2.0,0.0,0.0,0.0,34.0,72.0,138.0,2.0,2.0,1.0,13.0,16.0,32.0,30.0,42.0,2,264,102,10,8,386.0,386.0,386.0,382.0,386.0
159,Himachal Pradesh,2004,371.0,236.0,135.0,2.0,9.0,0.0,82.0,0.0,0.0,4.0,4.0,7.0,6.0,99.0,0.0,0.0,0.0,22.0,15.0,2.0,71.0,26.0,1.0,1.0,1.0,4.0,4.0,6.0,5.0,4,7,23,122,107,32,4,72,117.0,113.0,27.0,0.0,10.0,77.0,0.0,6.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,1.0,0.0,52.0,75.0,80.0,1.0,2.0,0.0,12.0,14.0,51.0,23.0,46.0,5,242,100,5,19,371.0,371.0,371.0,356.0,371.0
160,Himachal Pradesh,2005,359.0,214.0,145.0,2.0,11.0,0.0,35.0,1.0,0.0,6.0,5.0,13.0,3.0,104.0,0.0,0.0,2.0,17.0,21.0,2.0,80.0,31.0,2.0,0.0,3.0,0.0,2.0,9.0,10.0,3,14,49,131,94,30,3,35,82.0,118.0,29.0,4.0,7.0,81.0,4.0,2.0,0.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0,0.0,20.0,75.0,148.0,4.0,8.0,0.0,7.0,16.0,29.0,25.0,27.0,7,205,108,32,7,359.0,359.0,359.0,359.0,359.0
161,Himachal Pradesh,2006,457.0,301.0,156.0,2.0,8.0,0.0,69.0,1.0,0.0,6.0,13.0,10.0,3.0,127.0,0.0,0.0,0.0,38.0,20.0,0.0,79.0,60.0,5.0,0.0,4.0,1.0,0.0,5.0,6.0,5,15,54,169,99,43,7,65,72.0,159.0,23.0,5.0,18.0,80.0,0.0,10.0,0.0,3.0,0.0,67.0,19.0,0.0,1.0,0.0,0.0,22.0,78.0,143.0,4.0,41.0,1.0,17.0,22.0,57.0,40.0,32.0,0,311,132,7,7,457.0,457.0,457.0,457.0,457.0
162,Himachal Pradesh,2007,402.0,258.0,144.0,0.0,13.0,0.0,81.0,0.0,0.0,3.0,0.0,16.0,0.0,114.0,0.0,0.0,0.0,42.0,13.0,0.0,58.0,37.0,1.0,2.0,0.0,6.0,6.0,5.0,5.0,8,10,36,170,94,24,1,59,139.0,81.0,19.0,2.0,7.0,80.0,3.0,6.0,1.0,2.0,0.0,50.0,4.0,1.0,4.0,1.0,2.0,15.0,56.0,154.0,10.0,15.0,1.0,28.0,11.0,50.0,35.0,27.0,1,288,103,4,6,402.0,402.0,402.0,402.0,402.0
163,Himachal Pradesh,2008,630.0,417.0,213.0,7.0,3.0,7.0,119.0,0.0,0.0,2.0,9.0,12.0,26.0,117.0,0.0,1.0,0.0,57.0,15.0,3.0,197.0,27.0,5.0,0.0,0.0,2.0,8.0,10.0,3.0,1,16,75,260,145,41,1,91,62.0,220.0,55.0,7.0,27.0,122.0,0.0,41.0,0.0,0.0,0.0,54.0,26.0,0.0,0.0,5.0,11.0,188.0,87.0,137.0,14.0,23.0,3.0,32.0,21.0,49.0,36.0,38.0,3,457,133,13,24,630.0,630.0,630.0,628.0,630.0
164,Himachal Pradesh,2009,560.0,366.0,194.0,0.0,8.0,5.0,72.0,1.0,0.0,0.0,1.0,6.0,0.0,100.0,0.0,0.0,0.0,21.0,27.0,0.0,257.0,43.0,1.0,1.0,0.0,0.0,10.0,5.0,2.0,8,29,93,217,100,50,0,63,67.0,167.0,61.0,2.0,8.0,113.0,1.0,18.0,0.0,0.0,0.0,111.0,5.0,5.0,0.0,0.0,2.0,24.0,94.0,205.0,3.0,24.0,5.0,17.0,32.0,42.0,50.0,64.0,0,402,123,7,28,560.0,560.0,560.0,560.0,560.0
165,Himachal Pradesh,2010,542.0,348.0,194.0,0.0,5.0,9.0,76.0,1.0,1.0,1.0,5.0,8.0,2.0,80.0,0.0,0.0,0.0,36.0,20.0,0.0,261.0,21.0,1.0,2.0,0.0,0.0,5.0,6.0,2.0,21,15,81,186,95,66,4,74,86.0,134.0,35.0,0.0,16.0,137.0,0.0,46.0,0.0,0.0,0.0,78.0,6.0,0.0,2.0,0.0,2.0,61.0,88.0,126.0,22.0,18.0,7.0,24.0,23.0,45.0,66.0,55.0,1,362,146,12,21,542.0,542.0,542.0,535.0,542.0
