,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
168,Jammu & Kashmir,2001,153.0,91.0,62.0,2.0,6.0,0.0,63.0,0.0,1.0,9.0,1.0,3.0,2.0,44.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,4,14,29,27,48,1,28,2.0,61.0,11.0,11.0,3.0,13.0,3.0,0.0,9.0,0.0,0.0,20.0,0.0,1.0,2.0,16.0,1.0,15.0,36.0,65.0,2.0,1.0,0.0,2.0,9.0,2.0,6.0,15.0,0,119,26,0,8,153.0,153.0,153.0,153.0,153.0
169,Jammu & Kashmir,2002,184.0,96.0,88.0,0.0,1.0,0.0,81.0,0.0,0.0,16.0,12.0,0.0,1.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,1,1,11,32,46,50,8,35,19.0,49.0,10.0,9.0,14.0,19.0,7.0,0.0,4.0,2.0,35.0,0.0,2.0,0.0,1.0,10.0,3.0,16.0,53.0,61.0,0.0,2.0,0.0,0.0,11.0,8.0,12.0,20.0,6,123,40,8,7,184.0,184.0,184.0,183.0,184.0
170,Jammu & Kashmir,2003,138.0,63.0,75.0,2.0,0.0,0.0,19.0,0.0,0.0,16.0,6.0,0.0,1.0,21.0,0.0,3.0,5.0,0.0,6.0,0.0,5.0,33.0,5.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,9,24,35,36,6,27,19.0,49.0,8.0,6.0,5.0,22.0,0.0,4.0,0.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,8.0,41.0,76.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,5,77,40,9,7,138.0,138.0,138.0,138.0,138.0
171,Jammu & Kashmir,2004,112.0,51.0,61.0,0.0,0.0,0.0,19.0,0.0,0.0,7.0,6.0,2.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0,1,4,23,23,32,4,25,8.0,26.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,65.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,6.0,0,75,30,4,3,112.0,112.0,112.0,112.0,112.0
172,Jammu & Kashmir,2005,294.0,196.0,98.0,0.0,13.0,0.0,54.0,0.0,3.0,6.0,15.0,15.0,17.0,18.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,109.0,9.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,0,9,21,40,90,71,0,63,31.0,50.0,16.0,20.0,5.0,40.0,0.0,14.0,0.0,0.0,0.0,108.0,0.0,0.0,1.0,3.0,6.0,2.0,32.0,137.0,0.0,0.0,7.0,0.0,18.0,34.0,24.0,40.0,2,170,79,40,3,294.0,294.0,294.0,294.0,294.0
173,Jammu & Kashmir,2006,262.0,152.0,110.0,0.0,6.0,6.0,53.0,0.0,2.0,9.0,5.0,6.0,1.0,35.0,0.0,1.0,2.0,2.0,6.0,0.0,0.0,86.0,19.0,2.0,0.0,1.0,1.0,5.0,10.0,4.0,1,7,10,66,65,63,6,44,27.0,24.0,8.0,13.0,11.0,23.0,0.0,4.0,0.0,2.0,0.0,143.0,2.0,1.0,0.0,0.0,4.0,34.0,42.0,71.0,5.0,2.0,2.0,2.0,27.0,12.0,22.0,34.0,5,153,95,6,3,262.0,262.0,262.0,253.0,262.0
174,Jammu & Kashmir,2007,234.0,153.0,81.0,0.0,4.0,0.0,60.0,1.0,0.0,8.0,7.0,2.0,0.0,31.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,71.0,6.0,1.0,3.0,10.0,0.0,3.0,1.0,14.0,0,2,15,60,57,60,1,39,19.0,36.0,13.0,8.0,9.0,44.0,0.0,1.0,0.0,2.0,0.0,94.0,3.0,1.0,0.0,0.0,4.0,33.0,53.0,54.0,3.0,7.0,4.0,3.0,14.0,11.0,24.0,28.0,2,155,73,2,2,234.0,234.0,234.0,234.0,234.0
175,Jammu & Kashmir,2008,310.0,177.0,133.0,15.0,0.0,0.0,92.0,2.0,0.0,7.0,0.0,5.0,5.0,41.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,99.0,21.0,0.0,0.0,1.0,0.0,0.0,5.0,6.0,15,2,34,103,67,57,3,29,83.0,44.0,9.0,8.0,4.0,30.0,0.0,3.0,1.0,0.0,0.0,117.0,3.0,0.0,1.0,0.0,7.0,6.0,75.0,67.0,4.0,21.0,6.0,6.0,28.0,27.0,16.0,51.0,3,221,86,0,0,310.0,310.0,310.0,307.0,310.0
176,Jammu & Kashmir,2009,321.0,168.0,153.0,2.0,6.0,4.0,45.0,1.0,4.0,4.0,20.0,12.0,4.0,56.0,2.0,3.0,3.0,10.0,15.0,0.0,0.0,58.0,44.0,6.0,1.0,7.0,2.0,0.0,4.0,8.0,10,23,24,101,61,52,23,27,27.0,69.0,12.0,12.0,19.0,28.0,2.0,7.0,3.0,6.0,0.0,90.0,7.0,1.0,4.0,20.0,14.0,8.0,50.0,85.0,3.0,7.0,0.0,18.0,35.0,30.0,20.0,62.0,0,180,125,5,11,321.0,321.0,321.0,318.0,321.0
177,Jammu & Kashmir,2010,259.0,122.0,137.0,1.0,8.0,0.0,56.0,0.0,1.0,7.0,6.0,8.0,2.0,43.0,0.0,4.0,1.0,6.0,9.0,0.0,2.0,85.0,8.0,0.0,0.0,3.0,0.0,4.0,2.0,3.0,2,4,19,62,61,71,2,38,45.0,45.0,18.0,10.0,15.0,47.0,0.0,7.0,3.0,3.0,0.0,59.0,2.0,1.0,0.0,0.0,4.0,18.0,58.0,70.0,3.0,2.0,1.0,9.0,6.0,13.0,36.0,43.0,0,143,103,12,1,259.0,259.0,259.0,259.0,259.0
178,Jammu & Kashmir,2011,287.0,144.0,143.0,2.0,2.0,1.0,65.0,0.0,2.0,4.0,12.0,5.0,7.0,48.0,0.0,0.0,0.0,6.0,26.0,0.0,4.0,72.0,8.0,3.0,2.0,3.0,2.0,6.0,3.0,4.0,6,7,20,62,62,80,7,43,29.0,78.0,5.0,12.0,12.0,42.0,7.0,9.0,4.0,8.0,0.0,60.0,8.0,3.0,0.0,1.0,9.0,14.0,58.0,82.0,7.0,4.0,4.0,15.0,13.0,11.0,40.0,36.0,8,152,97,18,12,287.0,287.0,287.0,284.0,287.0
179,Jammu & Kashmir,2012,414.0,192.0,222.0,24.0,8.0,14.0,130.0,1.0,4.0,3.0,4.0,11.0,5.0,48.0,0.0,5.0,2.0,5.0,25.0,0.0,4.0,70.0,22.0,3.0,0.0,4.0,5.0,5.0,5.0,7.0,5,10,34,110,87,98,1,69,57.0,80.0,11.0,10.0,15.0,59.0,10.0,10.0,0.0,8.0,0.0,80.0,17.0,0.0,1.0,21.0,35.0,10.0,75.0,146.0,11.0,0.0,5.0,10.0,24.0,18.0,62.0,53.0,17,238,126,22,11,414.0,414.0,414.0,414.0,414.0
