,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
180,Jharkhand,2001,250.0,141.0,109.0,22.0,0.0,0.0,35.0,11.0,9.0,0.0,0.0,8.0,5.0,22.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,85.0,0.0,0.0,0.0,7.0,6.0,1.0,0.0,19.0,0,1,6,18,24,168,0,33,17.0,10.0,28.0,1.0,38.0,45.0,13.0,9.0,15.0,0.0,0.0,45.0,4.0,2.0,14.0,5.0,4.0,27.0,59.0,120.0,6.0,5.0,0.0,1.0,0.0,6.0,7.0,19.0,2,192,35,18,3,250.0,250.0,250.0,250.0,250.0
181,Jharkhand,2002,272.0,153.0,119.0,21.0,0.0,0.0,42.0,11.0,10.0,0.0,0.0,12.0,6.0,28.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,84.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,23.0,2,36,31,19,26,125,6,27,13.0,19.0,19.0,1.0,37.0,30.0,20.0,16.0,18.0,1.0,45.0,0.0,5.0,9.0,13.0,4.0,22.0,21.0,63.0,120.0,9.0,6.0,2.0,4.0,0.0,8.0,10.0,29.0,15,169,28,26,34,272.0,272.0,272.0,272.0,272.0
182,Jharkhand,2003,272.0,153.0,119.0,21.0,0.0,0.0,42.0,11.0,10.0,0.0,0.0,12.0,6.0,28.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,84.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,23.0,3,30,26,21,28,129,7,28,15.0,19.0,20.0,1.0,30.0,25.0,21.0,14.0,17.0,2.0,0.0,51.0,5.0,11.0,18.0,4.0,19.0,21.0,63.0,120.0,9.0,6.0,2.0,4.0,0.0,8.0,10.0,29.0,15,165,35,22,35,272.0,272.0,272.0,272.0,272.0
183,Jharkhand,2004,417.0,233.0,184.0,26.0,3.0,0.0,45.0,11.0,15.0,2.0,8.0,17.0,8.0,83.0,0.0,0.0,0.0,1.0,42.0,0.0,2.0,86.0,0.0,1.0,0.0,9.0,12.0,1.0,16.0,29.0,5,40,50,58,54,144,14,52,33.0,24.0,27.0,1.0,53.0,78.0,28.0,13.0,19.0,2.0,0.0,51.0,9.0,29.0,20.0,4.0,26.0,21.0,0.0,330.0,9.0,6.0,0.0,4.0,0.0,8.0,10.0,29.0,15,254,73,38,37,417.0,417.0,417.0,417.0,417.0
184,Jharkhand,2005,808.0,523.0,285.0,29.0,7.0,0.0,71.0,0.0,0.0,8.0,29.0,44.0,2.0,62.0,0.0,0.0,26.0,101.0,28.0,0.0,1.0,305.0,19.0,2.0,7.0,4.0,13.0,1.0,30.0,19.0,4,32,96,166,125,235,4,146,119.0,62.0,89.0,20.0,52.0,221.0,11.0,11.0,0.0,0.0,0.0,133.0,46.0,16.0,10.0,0.0,18.0,124.0,158.0,275.0,9.0,6.0,3.0,34.0,11.0,42.0,98.0,48.0,8,512,226,31,31,808.0,808.0,808.0,808.0,808.0
185,Jharkhand,2006,856.0,521.0,335.0,32.0,3.0,1.0,144.0,1.0,1.0,8.0,29.0,32.0,28.0,125.0,0.0,1.0,0.0,50.0,24.0,0.0,3.0,218.0,13.0,2.0,17.0,15.0,11.0,3.0,84.0,11.0,5,31,92,157,169,248,3,151,142.0,60.0,76.0,3.0,78.0,271.0,16.0,7.0,4.0,5.0,0.0,116.0,39.0,20.0,6.0,6.0,7.0,103.0,190.0,219.0,34.0,1.0,9.0,20.0,26.0,48.0,111.0,95.0,9,501,303,15,28,856.0,856.0,856.0,856.0,856.0
186,Jharkhand,2007,1289.0,880.0,409.0,27.0,23.0,2.0,131.0,1.0,0.0,31.0,51.0,42.0,21.0,101.0,1.0,1.0,2.0,66.0,16.0,0.0,22.0,607.0,39.0,4.0,1.0,8.0,5.0,10.0,54.0,23.0,9,57,109,216,253,466,3,176,98.0,115.0,155.0,6.0,118.0,329.0,32.0,12.0,45.0,2.0,0.0,261.0,46.0,27.0,5.0,7.0,31.0,113.0,205.0,538.0,42.0,0.0,19.0,53.0,20.0,84.0,102.0,95.0,21,832,348,10,78,1289.0,1289.0,1289.0,1271.0,1289.0
187,Jharkhand,2008,911.0,602.0,309.0,10.0,4.0,2.0,173.0,2.0,13.0,5.0,37.0,34.0,9.0,130.0,0.0,3.0,9.0,27.0,23.0,0.0,1.0,350.0,34.0,1.0,7.0,3.0,3.0,4.0,24.0,3.0,6,32,71,152,176,291,7,176,84.0,95.0,139.0,53.0,92.0,152.0,6.0,25.0,5.0,3.0,0.0,151.0,42.0,22.0,5.0,16.0,21.0,71.0,170.0,360.0,48.0,14.0,4.0,35.0,13.0,35.0,101.0,60.0,33,569,216,54,39,911.0,911.0,911.0,911.0,911.0
188,Jharkhand,2009,1112.0,744.0,368.0,17.0,11.0,4.0,134.0,2.0,8.0,14.0,42.0,22.0,20.0,127.0,0.0,7.0,0.0,60.0,50.0,0.0,18.0,404.0,39.0,0.0,3.0,17.0,7.0,41.0,33.0,32.0,8,40,165,148,204,344,6,197,159.0,69.0,149.0,8.0,117.0,239.0,8.0,20.0,4.0,6.0,0.0,140.0,104.0,31.0,12.0,19.0,27.0,164.0,185.0,333.0,22.0,4.0,1.0,37.0,24.0,136.0,96.0,100.0,13,706,302,18,73,1112.0,1112.0,1112.0,1102.0,1112.0
189,Jharkhand,2010,1232.0,795.0,437.0,21.0,8.0,1.0,165.0,96.0,10.0,21.0,15.0,63.0,12.0,102.0,7.0,10.0,5.0,33.0,57.0,0.0,19.0,452.0,31.0,2.0,2.0,5.0,11.0,14.0,45.0,25.0,11,42,169,249,225,291,64,181,127.0,66.0,116.0,4.0,88.0,361.0,4.0,24.0,1.0,1.0,0.0,336.0,35.0,18.0,31.0,9.0,11.0,173.0,212.0,435.0,9.0,28.0,3.0,31.0,10.0,87.0,142.0,100.0,13,776,364,17,62,1232.0,1232.0,1232.0,1230.0,1232.0
