,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
192,Karnataka,2001,11881.0,7871.0,4010.0,265.0,71.0,85.0,3032.0,53.0,9.0,92.0,74.0,171.0,134.0,1911.0,6.0,10.0,37.0,647.0,126.0,83.0,1314.0,2791.0,92.0,27.0,432.0,89.0,59.0,34.0,237.0,97,170,607,1463,2265,4190,24,3065,1381.0,3186.0,1436.0,33.0,1003.0,3034.0,19.0,99.0,1.0,14.0,0.0,880.0,231.0,78.0,14.0,399.0,73.0,2505.0,2197.0,3483.0,203.0,243.0,135.0,625.0,270.0,1065.0,512.0,643.0,67,8188,2580,421,625,11881.0,11881.0,11881.0,11881.0,11881.0
193,Karnataka,2002,12270.0,8080.0,4190.0,237.0,78.0,66.0,2793.0,67.0,6.0,101.0,94.0,197.0,37.0,2038.0,13.0,4.0,35.0,569.0,104.0,99.0,1753.0,3180.0,63.0,7.0,421.0,52.0,64.0,34.0,158.0,150,241,813,1491,2434,3954,34,3153,1358.0,2991.0,1367.0,48.0,955.0,3414.0,12.0,112.0,1.0,2.0,1118.0,0.0,175.0,107.0,17.0,539.0,54.0,2340.0,2225.0,4091.0,99.0,207.0,67.0,794.0,220.0,1067.0,509.0,651.0,83,8694,2763,399,331,12270.0,12270.0,12270.0,12270.0,12270.0
194,Karnataka,2003,12361.0,8375.0,3986.0,310.0,31.0,40.0,3017.0,92.0,5.0,45.0,57.0,137.0,26.0,1758.0,13.0,1.0,43.0,694.0,122.0,103.0,2341.0,2540.0,88.0,2.0,565.0,57.0,88.0,35.0,151.0,95,169,738,1620,2318,4052,26,3343,1776.0,2914.0,1154.0,33.0,696.0,3633.0,17.0,52.0,0.0,3.0,0.0,1277.0,126.0,76.0,19.0,540.0,45.0,2678.0,1864.0,4559.0,144.0,246.0,52.0,564.0,223.0,852.0,422.0,757.0,43,8590,2960,311,457,12361.0,12361.0,12361.0,12361.0,12361.0
195,Karnataka,2004,11937.0,8018.0,3919.0,220.0,39.0,46.0,2964.0,62.0,1.0,43.0,55.0,126.0,58.0,1641.0,0.0,8.0,45.0,613.0,97.0,94.0,2436.0,2602.0,50.0,1.0,485.0,34.0,55.0,36.0,126.0,59,213,714,1655,2610,3422,83,3181,1173.0,2943.0,1011.0,129.0,674.0,3474.0,42.0,26.0,3.0,3.0,0.0,1652.0,157.0,49.0,9.0,524.0,68.0,1963.0,1783.0,4956.0,85.0,218.0,75.0,494.0,199.0,1105.0,448.0,611.0,16,8512,2762,323,324,11937.0,11937.0,11937.0,11937.0,11937.0
196,Karnataka,2005,11557.0,7707.0,3850.0,163.0,43.0,27.0,2955.0,61.0,4.0,38.0,59.0,142.0,42.0,1499.0,20.0,1.0,51.0,620.0,96.0,89.0,2605.0,2407.0,56.0,5.0,272.0,63.0,86.0,44.0,109.0,62,155,662,1645,2667,3146,27,3193,958.0,3013.0,1124.0,154.0,540.0,3496.0,18.0,31.0,1.0,1.0,0.0,1639.0,72.0,12.0,48.0,423.0,27.0,1883.0,1874.0,4806.0,278.0,218.0,40.0,448.0,160.0,1013.0,368.0,469.0,52,8421,2431,336,317,11557.0,11557.0,11557.0,11557.0,11557.0
197,Karnataka,2006,12212.0,8048.0,4164.0,148.0,40.0,54.0,2443.0,60.0,5.0,45.0,75.0,145.0,7.0,1727.0,12.0,2.0,55.0,528.0,101.0,66.0,3315.0,2753.0,40.0,4.0,339.0,54.0,28.0,25.0,141.0,77,193,838,1952,2474,3499,21,3158,1202.0,3106.0,1133.0,30.0,632.0,3548.0,27.0,91.0,1.0,2.0,0.0,1920.0,130.0,23.0,23.0,332.0,12.0,1720.0,1851.0,5424.0,223.0,170.0,29.0,440.0,238.0,1182.0,447.0,488.0,61,8669,2717,347,418,12212.0,12212.0,12212.0,12212.0,12212.0
198,Karnataka,2007,12304.0,8392.0,3912.0,206.0,51.0,52.0,2877.0,63.0,9.0,43.0,40.0,99.0,19.0,2074.0,2.0,3.0,57.0,637.0,88.0,112.0,2736.0,2551.0,33.0,16.0,344.0,53.0,35.0,20.0,84.0,97,217,817,2106,2347,3169,32,3519,811.0,3164.0,1025.0,29.0,573.0,3602.0,43.0,66.0,5.0,2.0,0.0,2295.0,168.0,53.0,30.0,383.0,55.0,2135.0,1802.0,5093.0,194.0,203.0,51.0,484.0,207.0,1076.0,507.0,552.0,79,8711,2828,179,507,12304.0,12304.0,12304.0,12304.0,12304.0
199,Karnataka,2008,12222.0,8216.0,4006.0,174.0,35.0,52.0,2429.0,56.0,14.0,38.0,30.0,150.0,21.0,1978.0,2.0,3.0,46.0,656.0,97.0,83.0,3315.0,2526.0,68.0,19.0,272.0,26.0,14.0,14.0,104.0,85,372,899,2234,2345,3061,29,3197,1285.0,2713.0,1052.0,38.0,580.0,3680.0,29.0,64.0,13.0,0.0,0.0,1923.0,221.0,16.0,99.0,411.0,98.0,1737.0,1653.0,5283.0,140.0,304.0,57.0,584.0,249.0,1266.0,455.0,494.0,72,8783,2797,206,364,12222.0,12222.0,12222.0,12222.0,12222.0
200,Karnataka,2009,12195.0,8209.0,3986.0,245.0,46.0,103.0,3270.0,66.0,27.0,64.0,65.0,147.0,31.0,2170.0,10.0,2.0,63.0,578.0,126.0,96.0,2136.0,2432.0,48.0,14.0,247.0,26.0,43.0,20.0,120.0,81,272,877,1893,1920,4138,51,2963,1173.0,2703.0,1035.0,197.0,636.0,3406.0,108.0,56.0,3.0,3.0,0.0,1977.0,262.0,24.0,38.0,435.0,139.0,2282.0,1696.0,5045.0,155.0,292.0,55.0,666.0,107.0,855.0,507.0,535.0,124,7978,2757,418,918,12195.0,12195.0,12195.0,12195.0,12195.0
201,Karnataka,2010,12651.0,8407.0,4244.0,135.0,32.0,120.0,2512.0,84.0,12.0,87.0,68.0,147.0,54.0,2031.0,15.0,10.0,74.0,572.0,142.0,89.0,2891.0,2891.0,66.0,1.0,265.0,54.0,72.0,25.0,202.0,186,281,908,2524,2251,3203,48,3250,1207.0,3278.0,1074.0,97.0,610.0,3599.0,108.0,76.0,0.0,0.0,0.0,1849.0,155.0,16.0,11.0,480.0,91.0,2585.0,1889.0,4424.0,125.0,295.0,100.0,888.0,218.0,1116.0,591.0,420.0,209,8361,2976,384,721,12651.0,12651.0,12651.0,12651.0,12651.0
