,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
204,Kerala,2001,9572.0,6787.0,2785.0,1451.0,25.0,143.0,840.0,83.0,26.0,26.0,83.0,86.0,88.0,1788.0,0.0,15.0,6.0,954.0,150.0,26.0,1926.0,1272.0,108.0,0.0,3.0,204.0,50.0,27.0,192.0,55,200,733,2316,3226,497,73,2472,2031.0,1554.0,639.0,1.0,649.0,4004.0,25.0,43.0,106.0,0.0,0.0,151.0,62.0,72.0,19.0,201.0,15.0,1035.0,1406.0,2933.0,223.0,210.0,119.0,497.0,207.0,566.0,281.0,2095.0,111,7221,1788,185,267,9572.0,9572.0,9572.0,9572.0,9572.0
205,Kerala,2002,9810.0,7165.0,2645.0,1135.0,41.0,141.0,1561.0,93.0,18.0,22.0,181.0,89.0,23.0,2300.0,28.0,6.0,3.0,1013.0,85.0,26.0,1427.0,1223.0,136.0,6.0,2.0,71.0,42.0,39.0,99.0,108,187,699,2613,3060,660,59,2424,1886.0,1614.0,710.0,4.0,470.0,4280.0,12.0,1.0,45.0,0.0,42.0,0.0,173.0,52.0,218.0,299.0,4.0,1533.0,1453.0,2744.0,313.0,117.0,137.0,647.0,172.0,473.0,282.0,1939.0,80,7382,1763,225,360,9810.0,9810.0,9810.0,9810.0,9810.0
206,Kerala,2003,9438.0,6935.0,2503.0,1019.0,55.0,42.0,1343.0,76.0,8.0,10.0,158.0,88.0,92.0,2027.0,0.0,4.0,16.0,1352.0,100.0,35.0,1476.0,1284.0,44.0,0.0,13.0,29.0,29.0,8.0,130.0,52,166,533,2132,2919,772,28,2836,1977.0,1744.0,597.0,12.0,432.0,4077.0,13.0,12.0,64.0,3.0,0.0,201.0,39.0,27.0,14.0,202.0,24.0,1583.0,1431.0,3831.0,155.0,75.0,83.0,396.0,105.0,366.0,314.0,1099.0,56,7022,1823,177,360,9438.0,9438.0,9438.0,9438.0,9438.0
207,Kerala,2004,9053.0,6598.0,2455.0,888.0,51.0,86.0,1189.0,90.0,11.0,15.0,80.0,71.0,14.0,2028.0,2.0,6.0,2.0,1381.0,90.0,39.0,1393.0,1322.0,30.0,3.0,6.0,19.0,9.0,9.0,219.0,62,160,620,2144,2871,727,19,2450,1706.0,1470.0,562.0,2.0,419.0,4312.0,4.0,15.0,75.0,1.0,0.0,165.0,27.0,21.0,15.0,241.0,18.0,903.0,1513.0,4027.0,156.0,39.0,93.0,386.0,88.0,248.0,336.0,1264.0,91,6696,1696,186,384,9053.0,9053.0,9053.0,9053.0,9053.0
208,Kerala,2005,9244.0,6830.0,2414.0,831.0,45.0,85.0,852.0,94.0,14.0,17.0,63.0,69.0,12.0,2649.0,112.0,1.0,3.0,1395.0,81.0,43.0,1411.0,1223.0,35.0,1.0,10.0,34.0,14.0,14.0,136.0,55,169,802,2811,2967,478,29,1933,2000.0,1468.0,597.0,2.0,446.0,4261.0,18.0,5.0,78.0,0.0,0.0,128.0,20.0,17.0,29.0,163.0,12.0,1118.0,1413.0,4082.0,162.0,56.0,104.0,400.0,85.0,322.0,281.0,1221.0,36,7063,1766,101,278,9244.0,9244.0,9244.0,9244.0,9244.0
209,Kerala,2006,9026.0,6583.0,2443.0,746.0,31.0,65.0,612.0,73.0,24.0,19.0,117.0,60.0,79.0,3418.0,1.0,2.0,2.0,1511.0,70.0,30.0,719.0,1285.0,11.0,11.0,0.0,19.0,5.0,18.0,98.0,66,197,885,2603,2912,434,27,1902,1581.0,1587.0,542.0,1.0,410.0,4427.0,7.0,6.0,62.0,0.0,0.0,54.0,22.0,47.0,16.0,256.0,8.0,1124.0,1350.0,3730.0,230.0,78.0,128.0,377.0,89.0,432.0,271.0,1217.0,77,6995,1478,152,324,9026.0,9026.0,9026.0,9026.0,9026.0
210,Kerala,2007,8962.0,6588.0,2374.0,756.0,21.0,85.0,806.0,94.0,5.0,22.0,137.0,47.0,45.0,3787.0,0.0,4.0,1.0,1384.0,81.0,33.0,182.0,1329.0,24.0,1.0,0.0,22.0,19.0,22.0,55.0,106,254,900,2702,2722,344,42,1892,1355.0,1835.0,524.0,1.0,399.0,4316.0,27.0,9.0,22.0,5.0,0.0,75.0,19.0,46.0,17.0,305.0,7.0,1232.0,1326.0,3879.0,206.0,104.0,94.0,433.0,99.0,468.0,275.0,846.0,87,6999,1429,122,325,8962.0,8962.0,8962.0,8962.0,8962.0
211,Kerala,2008,8569.0,6130.0,2439.0,539.0,26.0,76.0,601.0,101.0,24.0,32.0,235.0,47.0,49.0,3737.0,0.0,4.0,2.0,1315.0,117.0,33.0,137.0,1329.0,17.0,3.0,1.0,35.0,45.0,28.0,36.0,73,240,905,2582,2626,301,52,1790,1436.0,1384.0,518.0,0.0,460.0,4329.0,28.0,4.0,41.0,10.0,0.0,15.0,13.0,54.0,18.0,248.0,11.0,820.0,1320.0,4030.0,158.0,86.0,109.0,383.0,80.0,466.0,286.0,831.0,73,6675,1337,148,336,8569.0,8569.0,8569.0,8569.0,8569.0
212,Kerala,2009,8755.0,6322.0,2433.0,565.0,49.0,174.0,621.0,109.0,13.0,20.0,260.0,46.0,109.0,3516.0,1.0,3.0,3.0,1425.0,119.0,28.0,191.0,1291.0,69.0,1.0,0.0,67.0,31.0,23.0,21.0,79,274,1225,2593,2708,177,45,1654,1409.0,1424.0,543.0,2.0,502.0,4402.0,33.0,4.0,45.0,0.0,0.0,35.0,44.0,40.0,16.0,249.0,7.0,896.0,1316.0,3933.0,228.0,106.0,95.0,598.0,72.0,434.0,274.0,803.0,73,6853,1349,153,327,8755.0,8755.0,8755.0,8755.0,8755.0
213,Kerala,2010,8586.0,6346.0,2240.0,452.0,35.0,159.0,663.0,114.0,16.0,21.0,289.0,56.0,54.0,3574.0,0.0,4.0,7.0,1270.0,140.0,42.0,344.0,1095.0,87.0,4.0,1.0,57.0,63.0,19.0,20.0,81,277,1094,2402,2516,286,60,1870,1314.0,1448.0,610.0,5.0,455.0,4295.0,48.0,22.0,56.0,0.0,0.0,15.0,20.0,45.0,10.0,236.0,7.0,895.0,1219.0,3703.0,186.0,148.0,76.0,479.0,71.0,454.0,313.0,1042.0,73,6716,1333,128,336,8586.0,8586.0,8586.0,8586.0,8586.0
