,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
228,Madhya Pradesh,2001,6860.0,3536.0,3324.0,89.0,37.0,6.0,2193.0,77.0,3.0,470.0,109.0,126.0,97.0,1502.0,2.0,53.0,6.0,278.0,123.0,44.0,442.0,651.0,7.0,108.0,42.0,62.0,117.0,132.0,84.0,39,59,481,810,1382,2267,43,1779,1778.0,712.0,356.0,24.0,991.0,2078.0,14.0,58.0,52.0,11.0,0.0,528.0,36.0,12.0,5.0,146.0,59.0,1372.0,2201.0,1677.0,148.0,106.0,14.0,288.0,182.0,357.0,305.0,210.0,19,4515,1987,22,317,6860.0,6860.0,6860.0,6860.0,6860.0
229,Madhya Pradesh,2002,6899.0,3579.0,3320.0,84.0,48.0,26.0,1607.0,48.0,7.0,538.0,107.0,152.0,88.0,1618.0,1.0,38.0,47.0,243.0,150.0,60.0,456.0,887.0,20.0,122.0,63.0,92.0,161.0,138.0,98.0,28,61,517,924,1540,1917,16,1896,2163.0,698.0,310.0,20.0,912.0,2114.0,17.0,68.0,23.0,4.0,201.0,0.0,65.0,87.0,21.0,150.0,46.0,1340.0,2287.0,1323.0,132.0,118.0,28.0,363.0,218.0,435.0,337.0,318.0,82,4723,1641,107,346,6899.0,6899.0,6899.0,6899.0,6899.0
230,Madhya Pradesh,2003,6762.0,3538.0,3224.0,85.0,31.0,59.0,1681.0,62.0,7.0,516.0,116.0,106.0,134.0,1630.0,0.0,29.0,2.0,226.0,157.0,38.0,297.0,781.0,57.0,163.0,32.0,95.0,148.0,143.0,167.0,19,76,470,1000,1400,1970,11,1816,2086.0,498.0,336.0,39.0,962.0,2294.0,10.0,16.0,36.0,0.0,0.0,187.0,50.0,21.0,21.0,136.0,70.0,1445.0,2029.0,1385.0,211.0,158.0,23.0,293.0,266.0,399.0,322.0,231.0,51,4586,1662,74,389,6762.0,6762.0,6762.0,6762.0,6762.0
231,Madhya Pradesh,2004,6795.0,3634.0,3161.0,64.0,46.0,26.0,1955.0,37.0,6.0,622.0,144.0,99.0,71.0,1271.0,0.0,30.0,2.0,312.0,163.0,53.0,393.0,807.0,21.0,114.0,96.0,94.0,146.0,136.0,87.0,36,96,681,1129,1484,1590,126,1653,2061.0,375.0,398.0,24.0,677.0,2527.0,20.0,52.0,29.0,12.0,0.0,283.0,65.0,50.0,16.0,145.0,61.0,1638.0,2112.0,1223.0,188.0,150.0,14.0,325.0,204.0,395.0,264.0,282.0,67,4799,1495,92,342,6795.0,6795.0,6795.0,6795.0,6795.0
232,Madhya Pradesh,2005,5448.0,2851.0,2597.0,67.0,32.0,12.0,1478.0,26.0,16.0,517.0,110.0,73.0,81.0,1045.0,4.0,18.0,3.0,321.0,118.0,53.0,533.0,612.0,32.0,55.0,47.0,38.0,33.0,95.0,29.0,45,65,350,818,1262,1595,21,1292,1333.0,428.0,427.0,29.0,533.0,2192.0,28.0,19.0,24.0,7.0,0.0,175.0,68.0,19.0,3.0,105.0,58.0,1248.0,1892.0,1111.0,161.0,123.0,8.0,198.0,54.0,215.0,199.0,239.0,63,3811,1187,129,258,5448.0,5448.0,5448.0,5448.0,5448.0
233,Madhya Pradesh,2006,6435.0,3503.0,2932.0,58.0,46.0,36.0,1523.0,48.0,19.0,585.0,132.0,133.0,126.0,1294.0,18.0,37.0,25.0,322.0,132.0,63.0,718.0,681.0,39.0,107.0,94.0,52.0,64.0,59.0,24.0,51,66,572,931,1249,1811,34,1721,1307.0,560.0,503.0,29.0,655.0,2358.0,21.0,24.0,103.0,3.0,0.0,519.0,53.0,65.0,10.0,174.0,51.0,1375.0,1901.0,1625.0,165.0,129.0,9.0,207.0,96.0,267.0,365.0,296.0,48,4565,1457,94,271,6435.0,6435.0,6435.0,6435.0,6435.0
234,Madhya Pradesh,2007,6329.0,3470.0,2859.0,37.0,61.0,9.0,1750.0,60.0,6.0,588.0,147.0,93.0,75.0,1221.0,11.0,15.0,52.0,304.0,154.0,42.0,692.0,647.0,10.0,99.0,30.0,37.0,83.0,85.0,21.0,36,57,561,1138,1417,1594,9,1517,1397.0,329.0,344.0,39.0,681.0,2422.0,50.0,13.0,82.0,98.0,0.0,394.0,120.0,131.0,18.0,156.0,55.0,1263.0,1907.0,1426.0,194.0,204.0,22.0,365.0,87.0,249.0,326.0,286.0,36,4342,1639,63,249,6329.0,6329.0,6329.0,6329.0,6329.0
235,Madhya Pradesh,2008,7629.0,4365.0,3264.0,61.0,99.0,55.0,1687.0,139.0,52.0,758.0,313.0,193.0,109.0,1521.0,14.0,73.0,134.0,515.0,191.0,63.0,284.0,633.0,43.0,139.0,56.0,169.0,125.0,100.0,103.0,60,141,888,1135,1628,1913,39,1825,1872.0,679.0,488.0,27.0,976.0,2709.0,27.0,18.0,108.0,5.0,0.0,283.0,149.0,75.0,10.0,163.0,40.0,1379.0,2073.0,1938.0,235.0,237.0,18.0,331.0,230.0,437.0,420.0,331.0,142,4713,2156,237,381,7629.0,7629.0,7629.0,7629.0,7629.0
236,Madhya Pradesh,2009,9113.0,5100.0,4013.0,80.0,67.0,25.0,1980.0,84.0,13.0,666.0,268.0,160.0,127.0,1469.0,0.0,9.0,173.0,383.0,208.0,65.0,1913.0,671.0,53.0,118.0,80.0,134.0,94.0,106.0,167.0,111,112,1100,1391,2035,2232,119,2013,2031.0,515.0,634.0,57.0,1156.0,2712.0,36.0,34.0,58.0,0.0,0.0,1461.0,135.0,49.0,2.0,153.0,80.0,1395.0,2286.0,2789.0,374.0,35.0,15.0,604.0,57.0,638.0,597.0,323.0,49,6101,2419,75,469,9113.0,9113.0,9113.0,9113.0,9113.0
237,Madhya Pradesh,2010,9003.0,5087.0,3916.0,88.0,85.0,53.0,2163.0,120.0,13.0,776.0,476.0,177.0,246.0,1586.0,8.0,9.0,15.0,534.0,254.0,83.0,1019.0,748.0,40.0,154.0,25.0,86.0,53.0,132.0,60.0,143,170,918,1558,1978,2137,101,1998,2105.0,709.0,539.0,74.0,1048.0,3049.0,21.0,33.0,87.0,6.0,0.0,892.0,143.0,24.0,18.0,169.0,86.0,1237.0,2564.0,3000.0,320.0,146.0,16.0,371.0,114.0,402.0,459.0,374.0,133,6070,2354,96,350,9003.0,9003.0,9003.0,9003.0,9003.0
