,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
264,Meghalaya,2001,87.0,69.0,18.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,4,4,7,32,21,0,19,0.0,0.0,5.0,6.0,7.0,29.0,0.0,2.0,1.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,36.0,2.0,0.0,4.0,4.0,10.0,2.0,7.0,14.0,0,42,37,1,7,87.0,87.0,87.0,87.0,87.0
265,Meghalaya,2002,67.0,49.0,18.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,0,2,8,12,31,0,14,0.0,0.0,13.0,1.0,0.0,37.0,0.0,3.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,11.0,17.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,14.0,0,37,29,0,1,67.0,67.0,67.0,64.0,67.0
266,Meghalaya,2003,41.0,32.0,9.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,1,4,7,13,12,0,4,0.0,0.0,7.0,3.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,16.0,0.0,0.0,0.0,1.0,4.0,6.0,3.0,6.0,0,18,15,1,7,41.0,41.0,41.0,41.0,41.0
267,Meghalaya,2004,55.0,39.0,16.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0,1,9,7,12,15,1,10,0.0,1.0,8.0,4.0,8.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,2.0,0.0,0.0,11.0,6.0,12.0,6.0,0,28,24,1,2,55.0,55.0,55.0,55.0,55.0
268,Meghalaya,2005,71.0,50.0,21.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,1,2,8,17,22,0,21,2.0,2.0,6.0,1.0,0.0,50.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,11.0,13.0,0.0,1.0,5.0,3.0,1.0,3.0,11.0,19.0,0,46,24,1,0,71.0,71.0,71.0,71.0,71.0
269,Meghalaya,2006,92.0,69.0,23.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,1.0,0.0,1.0,32.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9,18,39,7,1,18,3.0,3.0,6.0,2.0,1.0,68.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,3.0,11.0,23.0,0.0,1.0,0.0,18.0,8.0,5.0,10.0,12.0,0,59,30,1,2,92.0,92.0,92.0,91.0,92.0
270,Meghalaya,2007,87.0,60.0,27.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,8.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0,8,21,28,22,0,8,2.0,6.0,3.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,17.0,0.0,1.0,0.0,9.0,7.0,0.0,17.0,12.0,1,36,44,4,2,87.0,87.0,87.0,87.0,87.0
271,Meghalaya,2008,85.0,57.0,28.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0,1,13,19,23,23,0,6,0.0,1.0,10.0,2.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,27.0,1.0,0.0,0.0,0.0,8.0,1.0,9.0,20.0,0,50,28,1,6,85.0,85.0,85.0,84.0,85.0
272,Meghalaya,2009,112.0,67.0,45.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,2.0,2.0,0.0,13.0,0.0,1.0,0.0,13.0,5.0,0.0,0.0,4.0,3.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0,1,26,21,36,15,0,13,2.0,4.0,9.0,2.0,2.0,61.0,2.0,0.0,0.0,2.0,0.0,18.0,6.0,0.0,2.0,0.0,2.0,21.0,11.0,49.0,3.0,2.0,2.0,3.0,1.0,1.0,9.0,7.0,11,60,31,1,9,112.0,112.0,112.0,109.0,112.0
273,Meghalaya,2010,108.0,80.0,28.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,2,18,24,26,0,36,1.0,1.0,8.0,0.0,3.0,83.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,16.0,14.0,15.0,1.0,1.0,1.0,0.0,8.0,11.0,21.0,17.0,0,65,39,1,3,108.0,108.0,108.0,105.0,108.0
