,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
300,Odisha,2001,4052.0,2089.0,1963.0,17.0,34.0,29.0,1173.0,14.0,16.0,131.0,20.0,56.0,12.0,948.0,0.0,42.0,0.0,88.0,228.0,0.0,29.0,681.0,166.0,17.0,4.0,78.0,7.0,47.0,87.0,128.0,19,71,255,640,791,1309,17,950,750.0,802.0,181.0,12.0,44.0,1233.0,10.0,84.0,1.0,0.0,0.0,658.0,4.0,6.0,3.0,246.0,18.0,256.0,840.0,1513.0,37.0,75.0,28.0,399.0,76.0,233.0,268.0,321.0,46,2475,1079,236,216,4052.0,4052.0,4052.0,4046.0,4052.0
301,Odisha,2002,4388.0,2631.0,1757.0,42.0,31.0,34.0,1151.0,10.0,7.0,100.0,11.0,59.0,50.0,838.0,16.0,21.0,5.0,92.0,187.0,20.0,0.0,898.0,171.0,18.0,2.0,118.0,102.0,53.0,169.0,183.0,30,128,274,774,945,1160,14,1063,768.0,756.0,122.0,24.0,69.0,1217.0,16.0,82.0,29.0,0.0,987.0,0.0,14.0,61.0,1.0,201.0,41.0,345.0,770.0,1563.0,60.0,164.0,20.0,184.0,98.0,394.0,279.0,511.0,58,2689,1201,110,330,4388.0,4388.0,4388.0,4388.0,4388.0
302,Odisha,2003,4420.0,2740.0,1680.0,18.0,5.0,6.0,854.0,61.0,6.0,72.0,0.0,63.0,34.0,998.0,29.0,23.0,6.0,59.0,279.0,0.0,22.0,1431.0,118.0,6.0,0.0,51.0,5.0,19.0,125.0,130.0,27,134,340,765,933,1061,17,1143,1050.0,646.0,146.0,80.0,119.0,1172.0,17.0,24.0,0.0,2.0,0.0,848.0,40.0,0.0,7.0,215.0,54.0,365.0,647.0,1645.0,77.0,120.0,50.0,214.0,153.0,461.0,259.0,429.0,87,2918,1045,96,274,4420.0,4420.0,4420.0,4420.0,4420.0
303,Odisha,2004,4215.0,2544.0,1671.0,18.0,14.0,22.0,858.0,15.0,4.0,132.0,4.0,68.0,13.0,1083.0,0.0,23.0,4.0,78.0,139.0,0.0,20.0,1180.0,137.0,7.0,4.0,10.0,4.0,71.0,162.0,145.0,26,139,328,766,910,1121,10,915,1013.0,563.0,198.0,3.0,111.0,1207.0,5.0,37.0,9.0,1.0,0.0,657.0,15.0,2.0,81.0,263.0,50.0,379.0,620.0,1866.0,72.0,91.0,37.0,271.0,41.0,221.0,266.0,351.0,61,2903,1048,70,133,4215.0,4215.0,4215.0,4215.0,4215.0
304,Odisha,2005,4208.0,2554.0,1654.0,12.0,11.0,18.0,872.0,5.0,18.0,72.0,2.0,45.0,6.0,1240.0,1.0,32.0,3.0,123.0,150.0,0.0,8.0,1101.0,163.0,0.0,0.0,22.0,12.0,35.0,135.0,122.0,21,206,334,663,894,1039,9,1042,1517.0,333.0,186.0,1.0,109.0,1296.0,25.0,4.0,1.0,0.0,0.0,451.0,10.0,1.0,0.0,240.0,34.0,254.0,587.0,1870.0,105.0,112.0,12.0,362.0,80.0,176.0,262.0,388.0,43,2637,1258,116,154,4208.0,4208.0,4208.0,4208.0,4208.0
305,Odisha,2006,4065.0,2373.0,1692.0,12.0,6.0,13.0,1256.0,2.0,10.0,39.0,0.0,32.0,85.0,945.0,0.0,21.0,5.0,105.0,133.0,0.0,13.0,930.0,145.0,2.0,0.0,7.0,7.0,32.0,137.0,128.0,16,161,428,832,928,777,11,912,930.0,633.0,127.0,2.0,104.0,1176.0,1.0,12.0,91.0,0.0,0.0,780.0,11.0,0.0,0.0,175.0,23.0,283.0,531.0,1865.0,100.0,49.0,19.0,292.0,23.0,225.0,271.0,407.0,44,2864,971,45,141,4065.0,4065.0,4065.0,4065.0,4065.0
306,Odisha,2007,4308.0,2488.0,1820.0,3.0,29.0,11.0,1189.0,23.0,28.0,71.0,0.0,38.0,33.0,1181.0,0.0,15.0,21.0,56.0,185.0,0.0,14.0,999.0,229.0,0.0,0.0,7.0,23.0,13.0,81.0,59.0,56,171,556,679,992,942,16,896,1314.0,488.0,125.0,7.0,77.0,1158.0,2.0,7.0,200.0,0.0,0.0,851.0,3.0,2.0,1.0,56.0,17.0,240.0,614.0,1853.0,107.0,140.0,36.0,348.0,32.0,303.0,234.0,401.0,42,2822,1245,36,163,4308.0,4308.0,4308.0,4308.0,4308.0
307,Odisha,2008,4904.0,3155.0,1749.0,10.0,60.0,2.0,1573.0,12.0,10.0,159.0,3.0,54.0,32.0,1204.0,0.0,21.0,23.0,79.0,212.0,0.0,21.0,920.0,119.0,1.0,1.0,65.0,31.0,38.0,128.0,126.0,35,306,614,965,1037,821,24,1102,987.0,878.0,135.0,2.0,207.0,1239.0,0.0,12.0,12.0,0.0,0.0,1129.0,3.0,0.0,0.0,277.0,23.0,260.0,679.0,2191.0,149.0,136.0,43.0,288.0,22.0,359.0,217.0,560.0,56,3358,1194,110,186,4904.0,4904.0,4904.0,4904.0,4904.0
308,Odisha,2009,4365.0,2567.0,1798.0,5.0,41.0,6.0,1137.0,10.0,10.0,102.0,4.0,103.0,43.0,928.0,0.0,3.0,29.0,104.0,211.0,0.0,4.0,1207.0,104.0,0.0,2.0,9.0,28.0,27.0,110.0,138.0,38,272,490,896,806,854,63,946,1197.0,694.0,173.0,4.0,106.0,1068.0,1.0,16.0,30.0,1.0,0.0,1024.0,1.0,3.0,2.0,28.0,17.0,154.0,627.0,1866.0,48.0,175.0,57.0,274.0,44.0,339.0,293.0,488.0,65,2763,1209,87,241,4365.0,4365.0,4365.0,4365.0,4365.0
309,Odisha,2010,4255.0,2430.0,1825.0,19.0,59.0,0.0,1093.0,13.0,3.0,87.0,6.0,111.0,143.0,881.0,2.0,6.0,37.0,95.0,228.0,0.0,7.0,1033.0,98.0,0.0,0.0,19.0,8.0,40.0,154.0,113.0,32,259,538,866,827,771,11,951,1382.0,409.0,106.0,39.0,76.0,1189.0,1.0,12.0,17.0,1.0,0.0,702.0,14.0,1.0,120.0,175.0,11.0,162.0,730.0,1813.0,83.0,145.0,27.0,263.0,15.0,332.0,301.0,384.0,59,2781,1079,135,201,4255.0,4255.0,4255.0,4255.0,4255.0
310,Odisha,2011,5241.0,3060.0,2181.0,13.0,69.0,5.0,1305.0,64.0,10.0,134.0,13.0,98.0,147.0,767.0,0.0,6.0,23.0,80.0,308.0,0.0,60.0,1581.0,144.0,15.0,0.0,17.0,36.0,68.0,126.0,152.0,59,303,649,1126,1012,980,38,1074,1027.0,844.0,152.0,4.0,66.0,1245.0,24.0,54.0,12.0,0.0,0.0,1482.0,22.0,9.0,46.0,218.0,36.0,144.0,829.0,2233.0,121.0,176.0,45.0,324.0,42.0,429.0,368.0,530.0,75,3265,1308,209,384,5241.0,5241.0,5241.0,5241.0,5241.0
311,Odisha,2012,5027.0,2896.0,2131.0,36.0,53.0,49.0,1319.0,21.0,6.0,107.0,15.0,116.0,72.0,911.0,3.0,5.0,33.0,85.0,325.0,0.0,5.0,1509.0,90.0,0.0,0.0,18.0,16.0,31.0,141.0,61.0,69,292,492,938,1122,1042,30,1042,1018.0,605.0,126.0,4.0,43.0,1193.0,0.0,17.0,22.0,0.0,0.0,1819.0,30.0,2.0,2.0,114.0,32.0,146.0,870.0,1717.0,163.0,127.0,60.0,416.0,64.0,487.0,423.0,554.0,47,3272,1398,120,190,5027.0,5027.0,5027.0,5027.0,5027.0
