,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
312,Puducherry,2001,529.0,323.0,206.0,0.0,9.0,2.0,25.0,4.0,0.0,0.0,0.0,4.0,5.0,223.0,0.0,1.0,1.0,17.0,9.0,0.0,7.0,41.0,170.0,2.0,0.0,1.0,0.0,0.0,2.0,6.0,1,9,53,36,243,33,0,154,73.0,72.0,9.0,1.0,64.0,306.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,91.0,134.0,62.0,0.0,5.0,0.0,17.0,6.0,100.0,31.0,83.0,0,416,105,0,8,529.0,529.0,529.0,529.0,529.0
313,Puducherry,2002,567.0,410.0,157.0,17.0,2.0,4.0,28.0,8.0,0.0,0.0,0.0,5.0,4.0,243.0,0.0,0.0,0.0,32.0,5.0,1.0,0.0,34.0,176.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,5,9,16,102,254,39,3,139,107.0,37.0,15.0,0.0,51.0,353.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,88.0,103.0,24.0,0.0,7.0,7.0,18.0,19.0,213.0,28.0,60.0,0,432,127,0,8,567.0,567.0,567.0,567.0,567.0
314,Puducherry,2003,582.0,388.0,194.0,19.0,8.0,5.0,27.0,12.0,0.0,0.0,0.0,8.0,10.0,236.0,0.0,0.0,1.0,39.0,14.0,0.0,2.0,32.0,166.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3,13,31,235,122,8,2,168,89.0,61.0,5.0,0.0,60.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,23.0,108.0,191.0,74.0,11.0,0.0,21.0,10.0,27.0,30.0,87.0,0,401,170,0,11,582.0,582.0,582.0,582.0,582.0
315,Puducherry,2004,539.0,338.0,201.0,8.0,8.0,0.0,23.0,13.0,0.0,0.0,0.0,5.0,7.0,221.0,0.0,0.0,1.0,28.0,5.0,0.0,2.0,57.0,158.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4,10,12,222,213,1,3,74,104.0,15.0,0.0,0.0,56.0,354.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,145.0,105.0,59.0,25.0,0.0,4.0,20.0,23.0,31.0,29.0,97.0,0,399,123,0,17,539.0,539.0,539.0,538.0,539.0
316,Puducherry,2005,538.0,340.0,198.0,5.0,16.0,4.0,18.0,11.0,0.0,0.0,0.0,6.0,0.0,266.0,0.0,0.0,1.0,33.0,6.0,0.0,1.0,62.0,105.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5,10,30,103,289,18,8,75,61.0,44.0,0.0,0.0,61.0,363.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,147.0,126.0,7.0,8.0,2.0,4.0,10.0,13.0,86.0,23.0,112.0,0,386,138,0,14,538.0,538.0,538.0,538.0,538.0
317,Puducherry,2006,526.0,349.0,177.0,0.0,13.0,4.0,16.0,9.0,0.0,0.0,1.0,7.0,15.0,200.0,0.0,0.0,0.0,32.0,6.0,0.0,0.0,66.0,147.0,2.0,0.0,0.0,3.0,0.0,0.0,5.0,4,16,42,132,274,11,0,47,54.0,46.0,0.0,0.0,67.0,346.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,175.0,96.0,12.0,0.0,4.0,2.0,21.0,20.0,71.0,52.0,73.0,0,370,145,0,11,526.0,526.0,526.0,526.0,526.0
318,Puducherry,2007,517.0,319.0,198.0,0.0,9.0,2.0,27.0,8.0,0.0,0.0,0.0,9.0,0.0,260.0,0.0,0.0,1.0,40.0,10.0,0.0,3.0,53.0,91.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,10,13,42,76,329,8,2,37,43.0,32.0,6.0,0.0,80.0,348.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,197.0,78.0,16.0,0.0,0.0,0.0,20.0,14.0,28.0,33.0,131.0,0,367,139,0,11,517.0,517.0,517.0,517.0,517.0
319,Puducherry,2008,507.0,334.0,173.0,0.0,12.0,3.0,15.0,8.0,0.0,0.0,0.0,10.0,15.0,207.0,0.0,0.0,0.0,29.0,6.0,0.0,1.0,84.0,115.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,12,26,92,341,5,5,21,50.0,40.0,1.0,0.0,83.0,328.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,17.0,97.0,229.0,0.0,3.0,1.0,7.0,15.0,11.0,24.0,103.0,0,354,144,0,9,507.0,507.0,507.0,507.0,507.0
320,Puducherry,2009,518.0,326.0,192.0,2.0,6.0,7.0,17.0,16.0,0.0,1.0,0.0,4.0,0.0,227.0,0.0,0.0,2.0,33.0,7.0,0.0,5.0,63.0,123.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4,21,47,112,306,6,5,17,43.0,41.0,12.0,0.0,76.0,339.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,154.0,111.0,2.0,54.0,4.0,1.0,9.0,12.0,32.0,26.0,113.0,0,376,132,0,10,518.0,518.0,518.0,518.0,518.0
321,Puducherry,2010,508.0,333.0,175.0,1.0,15.0,2.0,19.0,13.0,0.0,0.0,0.0,4.0,4.0,197.0,0.0,0.0,1.0,33.0,2.0,0.0,1.0,72.0,134.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,13,22,52,359,43,10,1,8,41.0,19.0,1.0,0.0,77.0,350.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,4.0,95.0,9.0,210.0,6.0,3.0,14.0,11.0,38.0,18.0,100.0,0,368,125,0,15,508.0,508.0,508.0,508.0,508.0
