,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
324,Punjab,2001,648.0,396.0,252.0,8.0,0.0,0.0,98.0,11.0,49.0,1.0,7.0,3.0,92.0,18.0,0.0,9.0,0.0,60.0,0.0,10.0,17.0,1.0,98.0,27.0,1.0,1.0,111.0,7.0,19.0,4,4,64,111,93,204,29,139,101.0,42.0,17.0,10.0,33.0,54.0,0.0,0.0,0.0,4.0,0.0,170.0,3.0,0.0,18.0,3.0,193.0,45.0,98.0,330.0,7.0,11.0,6.0,17.0,17.0,38.0,8.0,71.0,54,338,144,68,44,648.0,648.0,648.0,648.0,648.0
325,Punjab,2002,507.0,397.0,110.0,1.0,4.0,3.0,120.0,30.0,3.0,2.0,18.0,26.0,34.0,0.0,2.0,5.0,5.0,61.0,0.0,1.0,0.0,34.0,70.0,32.0,2.0,5.0,6.0,6.0,37.0,5,10,45,103,68,182,1,93,80.0,32.0,20.0,6.0,26.0,94.0,5.0,0.0,0.0,0.0,47.0,0.0,3.0,3.0,11.0,176.0,4.0,40.0,87.0,195.0,22.0,11.0,3.0,42.0,19.0,24.0,19.0,45.0,1,345,137,4,20,507.0,507.0,507.0,507.0,507.0
326,Punjab,2003,631.0,506.0,125.0,5.0,1.0,4.0,161.0,1.0,0.0,6.0,37.0,5.0,2.0,89.0,17.0,2.0,3.0,108.0,33.0,4.0,15.0,35.0,0.0,55.0,33.0,2.0,0.0,3.0,10.0,19,43,71,107,83,178,32,98,49.0,39.0,18.0,15.0,15.0,124.0,37.0,3.0,0.0,0.0,0.0,311.0,0.0,0.0,20.0,0.0,0.0,26.0,74.0,341.0,2.0,2.0,7.0,47.0,12.0,39.0,23.0,58.0,71,279,157,82,42,631.0,631.0,631.0,631.0,631.0
327,Punjab,2004,645.0,516.0,129.0,6.0,3.0,3.0,113.0,5.0,4.0,12.0,59.0,12.0,4.0,76.0,21.0,1.0,0.0,197.0,8.0,3.0,9.0,70.0,1.0,0.0,16.0,2.0,7.0,5.0,8.0,12,7,37,134,78,197,91,89,37.0,101.0,15.0,15.0,10.0,137.0,0.0,5.0,0.0,0.0,0.0,312.0,2.0,0.0,0.0,11.0,0.0,74.0,62.0,287.0,26.0,21.0,8.0,28.0,16.0,41.0,26.0,56.0,15,335,213,12,70,645.0,645.0,645.0,645.0,645.0
328,Punjab,2005,588.0,482.0,106.0,5.0,2.0,0.0,47.0,1.0,0.0,5.0,30.0,10.0,23.0,83.0,0.0,1.0,0.0,230.0,7.0,3.0,12.0,39.0,0.0,1.0,32.0,6.0,0.0,25.0,26.0,11,5,36,150,97,169,60,60,53.0,69.0,24.0,12.0,9.0,93.0,2.0,19.0,4.0,0.0,0.0,157.0,2.0,1.0,0.0,142.0,1.0,47.0,77.0,253.0,14.0,2.0,8.0,63.0,16.0,35.0,21.0,52.0,9,374,170,12,23,588.0,588.0,588.0,588.0,588.0
329,Punjab,2006,772.0,610.0,162.0,6.0,5.0,0.0,145.0,6.0,0.0,6.0,47.0,12.0,7.0,127.0,15.0,6.0,3.0,230.0,8.0,10.0,45.0,44.0,12.0,0.0,11.0,7.0,1.0,7.0,12.0,5,19,43,231,108,266,6,94,54.0,34.0,14.0,9.0,20.0,191.0,1.0,10.0,2.0,0.0,0.0,14.0,0.0,10.0,34.0,375.0,4.0,85.0,110.0,325.0,47.0,6.0,1.0,23.0,16.0,60.0,31.0,68.0,4,510,235,9,14,772.0,772.0,772.0,772.0,772.0
330,Punjab,2007,847.0,632.0,215.0,13.0,2.0,3.0,179.0,7.0,1.0,6.0,31.0,9.0,42.0,155.0,4.0,14.0,3.0,194.0,12.0,5.0,55.0,60.0,1.0,1.0,20.0,2.0,1.0,9.0,18.0,10,6,45,232,140,311,5,98,50.0,102.0,13.0,8.0,25.0,175.0,1.0,0.0,3.0,0.0,0.0,24.0,0.0,1.0,9.0,435.0,1.0,88.0,132.0,378.0,24.0,0.0,6.0,42.0,30.0,66.0,30.0,51.0,0,556,266,9,16,847.0,847.0,847.0,847.0,847.0
331,Punjab,2008,869.0,643.0,226.0,16.0,2.0,2.0,128.0,10.0,2.0,23.0,56.0,12.0,24.0,165.0,28.0,0.0,6.0,176.0,22.0,8.0,12.0,83.0,36.0,2.0,24.0,2.0,5.0,19.0,6.0,9,16,60,229,146,278,9,122,70.0,45.0,31.0,16.0,25.0,248.0,0.0,0.0,2.0,0.0,0.0,18.0,1.0,4.0,5.0,404.0,0.0,66.0,156.0,305.0,13.0,2.0,2.0,105.0,29.0,88.0,48.0,55.0,5,553,290,5,16,869.0,869.0,869.0,869.0,869.0
332,Punjab,2009,847.0,635.0,212.0,7.0,2.0,1.0,138.0,4.0,4.0,17.0,53.0,14.0,6.0,183.0,0.0,0.0,12.0,179.0,17.0,2.0,19.0,104.0,13.0,1.0,52.0,1.0,3.0,10.0,5.0,16,17,68,214,135,286,6,105,85.0,67.0,20.0,12.0,31.0,198.0,14.0,12.0,0.0,3.0,0.0,11.0,3.0,4.0,3.0,377.0,7.0,97.0,130.0,328.0,32.0,8.0,20.0,53.0,15.0,61.0,55.0,48.0,3,538,273,9,24,847.0,847.0,847.0,847.0,847.0
333,Punjab,2010,920.0,719.0,201.0,6.0,3.0,11.0,137.0,12.0,1.0,18.0,59.0,13.0,9.0,259.0,2.0,0.0,12.0,223.0,20.0,5.0,19.0,58.0,0.0,0.0,15.0,14.0,3.0,8.0,13.0,14,19,87,220,153,307,2,118,79.0,76.0,32.0,5.0,40.0,234.0,16.0,0.0,4.0,2.0,0.0,8.0,8.0,6.0,1.0,408.0,1.0,80.0,130.0,412.0,21.0,0.0,8.0,41.0,23.0,83.0,55.0,67.0,7,567,325,3,18,920.0,920.0,920.0,920.0,920.0
334,Punjab,2011,966.0,755.0,211.0,5.0,4.0,1.0,105.0,7.0,0.0,22.0,110.0,13.0,4.0,153.0,4.0,1.0,4.0,229.0,29.0,9.0,37.0,43.0,2.0,1.0,66.0,10.0,8.0,27.0,72.0,3,8,96,271,163,319,1,105,153.0,75.0,13.0,9.0,27.0,228.0,1.0,2.0,0.0,6.0,0.0,4.0,7.0,6.0,11.0,423.0,1.0,98.0,148.0,312.0,17.0,16.0,9.0,31.0,43.0,154.0,38.0,100.0,0,627,324,11,4,966.0,966.0,966.0,966.0,966.0
335,Punjab,2012,1030.0,784.0,246.0,7.0,2.0,0.0,166.0,11.0,6.0,25.0,91.0,22.0,7.0,198.0,0.0,0.0,0.0,295.0,29.0,4.0,30.0,83.0,7.0,0.0,14.0,8.0,7.0,11.0,7.0,9,16,93,270,147,348,0,147,106.0,65.0,34.0,12.0,35.0,311.0,2.0,11.0,1.0,0.0,0.0,10.0,5.0,4.0,7.0,427.0,0.0,75.0,173.0,351.0,25.0,17.0,8.0,39.0,14.0,181.0,57.0,90.0,5,639,369,10,7,1030.0,1030.0,1030.0,1030.0,1030.0
