,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
336,Rajasthan,2001,3195.0,1959.0,1236.0,85.0,15.0,4.0,618.0,15.0,13.0,42.0,119.0,80.0,15.0,595.0,0.0,9.0,2.0,257.0,70.0,20.0,742.0,250.0,2.0,0.0,38.0,42.0,56.0,60.0,46.0,26,50,202,538,605,829,23,922,684.0,441.0,339.0,11.0,233.0,839.0,9.0,19.0,50.0,20.0,0.0,293.0,52.0,74.0,1.0,102.0,28.0,505.0,783.0,911.0,40.0,83.0,8.0,154.0,62.0,245.0,204.0,200.0,20,2172,830,50,123,3195.0,3195.0,3195.0,3195.0,3195.0
337,Rajasthan,2002,3248.0,2092.0,1156.0,98.0,26.0,2.0,612.0,13.0,9.0,84.0,110.0,58.0,14.0,809.0,0.0,8.0,1.0,286.0,60.0,30.0,511.0,304.0,1.0,1.0,62.0,36.0,22.0,57.0,34.0,28,73,223,494,678,806,37,909,637.0,286.0,294.0,15.0,276.0,955.0,24.0,29.0,35.0,14.0,501.0,0.0,54.0,31.0,0.0,83.0,14.0,587.0,767.0,1059.0,26.0,67.0,19.0,125.0,64.0,251.0,139.0,144.0,20,2221,868,42,97,3248.0,3248.0,3248.0,3248.0,3248.0
338,Rajasthan,2003,3661.0,2389.0,1272.0,126.0,14.0,6.0,596.0,15.0,12.0,69.0,143.0,39.0,30.0,760.0,0.0,4.0,3.0,312.0,84.0,28.0,819.0,367.0,6.0,0.0,43.0,39.0,33.0,66.0,47.0,28,67,176,567,662,1057,22,1082,764.0,321.0,374.0,15.0,295.0,884.0,12.0,75.0,83.0,35.0,0.0,494.0,78.0,45.0,0.0,106.0,80.0,636.0,938.0,1096.0,46.0,91.0,18.0,140.0,45.0,285.0,205.0,161.0,26,2555,945,28,107,3661.0,3661.0,3661.0,3661.0,3661.0
339,Rajasthan,2004,3725.0,2486.0,1239.0,70.0,26.0,8.0,741.0,7.0,11.0,41.0,108.0,37.0,61.0,899.0,0.0,8.0,7.0,359.0,95.0,27.0,758.0,257.0,0.0,8.0,40.0,39.0,32.0,60.0,26.0,28,68,163,664,759,968,19,1056,734.0,314.0,366.0,7.0,261.0,887.0,8.0,55.0,89.0,23.0,0.0,659.0,72.0,33.0,0.0,143.0,74.0,749.0,868.0,1258.0,32.0,41.0,2.0,113.0,26.0,302.0,147.0,187.0,20,2750,848,36,71,3725.0,3725.0,3725.0,3725.0,3725.0
340,Rajasthan,2005,4178.0,2858.0,1320.0,42.0,11.0,1.0,964.0,20.0,17.0,39.0,128.0,34.0,23.0,942.0,0.0,4.0,2.0,354.0,62.0,15.0,1094.0,303.0,0.0,2.0,18.0,20.0,27.0,31.0,25.0,45,49,220,913,762,1242,14,933,739.0,476.0,465.0,9.0,257.0,941.0,7.0,35.0,30.0,11.0,0.0,843.0,58.0,44.0,2.0,174.0,87.0,461.0,1100.0,1893.0,27.0,34.0,4.0,120.0,38.0,286.0,112.0,102.0,12,2884,1180,29,73,4178.0,4178.0,4178.0,4177.0,4178.0
341,Rajasthan,2006,4263.0,2910.0,1353.0,43.0,16.0,7.0,504.0,9.0,14.0,56.0,96.0,47.0,27.0,933.0,0.0,0.0,2.0,357.0,55.0,9.0,1657.0,314.0,1.0,0.0,16.0,21.0,56.0,21.0,2.0,15,34,226,496,805,1438,10,1239,823.0,240.0,397.0,9.0,214.0,1062.0,5.0,48.0,49.0,12.0,0.0,1060.0,69.0,25.0,3.0,189.0,58.0,395.0,1093.0,1924.0,19.0,33.0,3.0,176.0,40.0,349.0,134.0,97.0,16,2934,1203,55,55,4263.0,4263.0,4263.0,4263.0,4263.0
342,Rajasthan,2007,4437.0,3154.0,1283.0,53.0,17.0,18.0,450.0,20.0,16.0,46.0,135.0,49.0,28.0,852.0,0.0,0.0,5.0,397.0,50.0,16.0,1881.0,199.0,8.0,0.0,48.0,33.0,61.0,31.0,24.0,14,82,490,798,817,1223,14,999,830.0,391.0,415.0,19.0,274.0,1053.0,18.0,24.0,22.0,6.0,0.0,1028.0,67.0,48.0,5.0,160.0,77.0,618.0,1023.0,1683.0,39.0,29.0,0.0,279.0,68.0,351.0,185.0,162.0,24,3058,1224,41,90,4437.0,4437.0,4437.0,4437.0,4437.0
343,Rajasthan,2008,5166.0,3602.0,1564.0,57.0,9.0,20.0,1123.0,15.0,8.0,64.0,167.0,34.0,32.0,1044.0,0.0,0.0,3.0,458.0,94.0,10.0,1488.0,341.0,3.0,7.0,12.0,31.0,77.0,49.0,20.0,15,95,602,928,920,1523,21,1062,625.0,447.0,483.0,12.0,311.0,1116.0,106.0,54.0,50.0,8.0,0.0,1547.0,66.0,33.0,6.0,161.0,141.0,796.0,958.0,2079.0,53.0,19.0,13.0,244.0,89.0,466.0,242.0,207.0,28,3515,1400,41,182,5166.0,5166.0,5166.0,5166.0,5166.0
344,Rajasthan,2009,5065.0,3511.0,1554.0,41.0,28.0,3.0,720.0,18.0,37.0,43.0,130.0,31.0,20.0,1215.0,2.0,0.0,0.0,442.0,109.0,3.0,1582.0,369.0,7.0,4.0,13.0,54.0,122.0,49.0,23.0,19,87,440,1033,848,1479,21,1138,739.0,382.0,423.0,5.0,323.0,1216.0,133.0,36.0,73.0,11.0,0.0,1319.0,60.0,36.0,33.0,147.0,129.0,851.0,1070.0,1818.0,53.0,23.0,6.0,283.0,46.0,536.0,223.0,156.0,15,3617,1267,40,126,5065.0,5065.0,5065.0,5065.0,5065.0
345,Rajasthan,2010,4920.0,3365.0,1555.0,29.0,30.0,3.0,666.0,51.0,4.0,46.0,150.0,56.0,17.0,1057.0,1.0,0.0,1.0,601.0,131.0,11.0,1628.0,197.0,4.0,3.0,7.0,49.0,112.0,51.0,15.0,54,122,332,859,899,1463,43,1148,704.0,387.0,350.0,7.0,315.0,1211.0,28.0,78.0,74.0,11.0,0.0,1370.0,84.0,39.0,2.0,137.0,123.0,390.0,1034.0,2264.0,65.0,40.0,41.0,181.0,42.0,431.0,233.0,199.0,14,3401,1339,50,116,4920.0,4920.0,4920.0,4920.0,4920.0
