,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
348,Sikkim,2001,94.0,62.0,32.0,2.0,1.0,0.0,42.0,0.0,0.0,0.0,1.0,1.0,0.0,22.0,2.0,0.0,0.0,9.0,4.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,5,4,11,42,0,32,5.0,3.0,7.0,1.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,18.0,12.0,16.0,15.0,1.0,0.0,3.0,5.0,7.0,5.0,12.0,0,58,30,4,2,94.0,94.0,94.0,94.0,94.0
349,Sikkim,2002,78.0,54.0,24.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,3.0,1.0,15.0,0.0,0.0,0.0,22.0,2.0,0.0,6.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0,4,17,23,17,7,0,10,0.0,0.0,0.0,0.0,0.0,28.0,0.0,16.0,0.0,0.0,23.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,1.0,28.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,22.0,5,37,18,9,9,78.0,78.0,78.0,71.0,78.0
350,Sikkim,2003,105.0,68.0,37.0,0.0,0.0,0.0,58.0,1.0,0.0,0.0,11.0,0.0,0.0,15.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1,2,19,34,0,47,0.0,0.0,15.0,1.0,5.0,55.0,0.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,31.0,21.0,5.0,0.0,0.0,0.0,3.0,9.0,13.0,10.0,13.0,0,64,35,1,5,105.0,105.0,105.0,105.0,105.0
351,Sikkim,2004,98.0,56.0,42.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7,25,45,0,0,21,7.0,0.0,2.0,0.0,0.0,71.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,49.0,11.0,13.0,8.0,0.0,0.0,0.0,3.0,6.0,0.0,6.0,0,97,1,0,0,98.0,98.0,98.0,96.0,98.0
352,Sikkim,2005,109.0,62.0,47.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,1.0,5.0,25.0,0.0,0.0,0.0,9.0,3.0,0.0,37.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,2,11,18,38,0,40,1.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,41.0,20.0,26.0,0.0,0.0,0.0,1.0,2.0,5.0,10.0,4.0,2,61,38,3,5,109.0,109.0,109.0,109.0,109.0
353,Sikkim,2006,145.0,98.0,47.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,19,18,59,0,47,0.0,7.0,20.0,1.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,35.0,15.0,17.0,0.0,0.0,0.0,3.0,4.0,14.0,39.0,18.0,1,64,51,9,20,145.0,145.0,145.0,145.0,145.0
354,Sikkim,2007,122.0,84.0,38.0,0.0,0.0,0.0,69.0,2.0,0.0,0.0,4.0,3.0,0.0,9.0,0.0,0.0,0.0,7.0,1.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,5,1,7,20,57,0,26,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,66.0,0.0,1.0,0.0,0.0,0.0,12.0,5.0,11.0,13,60,24,13,12,122.0,122.0,122.0,122.0,122.0
355,Sikkim,2008,287.0,216.0,71.0,19.0,25.0,0.0,30.0,4.0,0.0,0.0,3.0,3.0,0.0,41.0,0.0,0.0,0.0,17.0,10.0,0.0,116.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2,1,9,44,44,92,0,95,6.0,0.0,0.0,0.0,4.0,129.0,0.0,0.0,0.0,0.0,0.0,143.0,3.0,0.0,0.0,0.0,2.0,60.0,7.0,125.0,0.0,6.0,0.0,0.0,0.0,28.0,12.0,49.0,4,185,90,0,8,287.0,287.0,287.0,287.0,287.0
356,Sikkim,2009,241.0,122.0,119.0,0.0,14.0,7.0,58.0,6.0,0.0,0.0,5.0,11.0,0.0,17.0,0.0,0.0,0.0,10.0,7.0,4.0,75.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,7.0,1,2,3,14,30,125,0,66,0.0,0.0,0.0,0.0,0.0,148.0,0.0,6.0,0.0,0.0,0.0,71.0,3.0,6.0,0.0,0.0,7.0,23.0,8.0,32.0,23.0,27.0,7.0,35.0,12.0,31.0,7.0,35.0,18,57,108,27,31,241.0,241.0,241.0,240.0,241.0
357,Sikkim,2010,280.0,235.0,45.0,1.0,17.0,3.0,119.0,1.0,3.0,0.0,6.0,4.0,5.0,27.0,2.0,0.0,0.0,25.0,6.0,7.0,20.0,23.0,1.0,0.0,0.0,2.0,1.0,1.0,6.0,10,7,14,31,60,60,5,93,7.0,10.0,6.0,0.0,0.0,159.0,3.0,3.0,0.0,0.0,0.0,88.0,2.0,0.0,2.0,0.0,0.0,19.0,5.0,29.0,22.0,31.0,5.0,24.0,35.0,55.0,3.0,52.0,7,134,111,11,17,280.0,280.0,280.0,280.0,280.0
