,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
360,Tamil Nadu,2001,11290.0,7128.0,4162.0,100.0,50.0,16.0,1277.0,68.0,41.0,117.0,65.0,188.0,122.0,3168.0,1.0,25.0,13.0,314.0,408.0,35.0,1665.0,2558.0,12.0,4.0,512.0,38.0,96.0,80.0,317.0,243,290,687,1195,2380,3932,130,2433,1590.0,3418.0,702.0,5.0,1584.0,2090.0,77.0,135.0,41.0,54.0,0.0,985.0,108.0,210.0,61.0,129.0,101.0,985.0,1755.0,3545.0,358.0,305.0,50.0,713.0,233.0,1084.0,404.0,1858.0,84,7777,2174,574,681,11290.0,11290.0,11290.0,11290.0,11290.0
361,Tamil Nadu,2002,11244.0,6983.0,4261.0,136.0,85.0,21.0,823.0,30.0,49.0,113.0,124.0,242.0,54.0,3345.0,0.0,16.0,6.0,366.0,352.0,78.0,1933.0,2608.0,69.0,80.0,162.0,117.0,111.0,98.0,226.0,220,193,897,1251,2306,3604,55,2718,1224.0,3462.0,787.0,9.0,1685.0,2169.0,114.0,191.0,9.0,28.0,1014.0,0.0,98.0,144.0,23.0,228.0,59.0,1455.0,2138.0,2902.0,145.0,326.0,54.0,836.0,351.0,1115.0,474.0,1362.0,160,7680,2072,620,712,11244.0,11244.0,11244.0,11158.0,11244.0
362,Tamil Nadu,2003,11872.0,7154.0,4718.0,271.0,95.0,14.0,1817.0,89.0,30.0,191.0,85.0,197.0,72.0,3214.0,0.0,26.0,1.0,382.0,509.0,125.0,1088.0,2180.0,77.0,53.0,408.0,206.0,183.0,157.0,402.0,251,247,973,1423,3130,2730,123,2995,1635.0,3418.0,837.0,5.0,1444.0,2560.0,44.0,57.0,4.0,13.0,0.0,1322.0,90.0,181.0,13.0,144.0,105.0,1052.0,2068.0,3020.0,496.0,409.0,84.0,806.0,266.0,1231.0,466.0,1974.0,116,7863,2225,864,804,11872.0,11872.0,11872.0,11872.0,11872.0
363,Tamil Nadu,2004,12839.0,7946.0,4893.0,185.0,84.0,39.0,1092.0,68.0,49.0,130.0,89.0,407.0,9.0,4060.0,2.0,8.0,21.0,463.0,634.0,55.0,1510.0,2424.0,94.0,37.0,369.0,153.0,330.0,84.0,443.0,221,340,1188,1694,3292,3315,85,2704,1913.0,3227.0,705.0,7.0,1389.0,2911.0,91.0,159.0,16.0,16.0,0.0,1931.0,90.0,160.0,9.0,80.0,135.0,1599.0,2112.0,4066.0,332.0,300.0,106.0,870.0,199.0,1083.0,473.0,1699.0,183,8734,2479,509,934,12839.0,12839.0,12839.0,12839.0,12839.0
364,Tamil Nadu,2005,12076.0,7507.0,4569.0,113.0,80.0,23.0,1011.0,63.0,42.0,78.0,83.0,314.0,56.0,3822.0,0.0,6.0,15.0,305.0,408.0,77.0,2375.0,2036.0,97.0,2.0,351.0,28.0,180.0,120.0,391.0,203,316,1138,1592,3059,3190,65,2513,1765.0,3052.0,622.0,5.0,1259.0,2771.0,75.0,138.0,14.0,15.0,0.0,1967.0,71.0,131.0,9.0,63.0,119.0,1255.0,2058.0,3574.0,286.0,280.0,102.0,918.0,191.0,1196.0,531.0,1685.0,178,8386,2309,426,777,12076.0,12076.0,12076.0,12076.0,12076.0
365,Tamil Nadu,2006,12381.0,7509.0,4872.0,128.0,89.0,28.0,1222.0,83.0,90.0,92.0,167.0,226.0,291.0,3887.0,172.0,16.0,10.0,298.0,396.0,86.0,1548.0,2445.0,98.0,13.0,147.0,134.0,221.0,131.0,363.0,211,292,1335,1721,3329,2745,36,2712,1468.0,2644.0,970.0,15.0,2086.0,3113.0,96.0,68.0,0.0,11.0,0.0,1490.0,141.0,50.0,4.0,145.0,80.0,426.0,2354.0,4605.0,0.0,331.0,102.0,1205.0,185.0,1720.0,226.0,1227.0,135,8878,2024,657,687,12381.0,12381.0,12381.0,12381.0,12381.0
366,Tamil Nadu,2007,13811.0,8687.0,5124.0,146.0,98.0,31.0,1372.0,93.0,100.0,97.0,190.0,249.0,323.0,4331.0,191.0,17.0,11.0,332.0,437.0,94.0,1732.0,2725.0,110.0,14.0,164.0,151.0,249.0,142.0,412.0,240,327,1497,1922,3708,3053,41,3023,1645.0,2957.0,1099.0,16.0,2267.0,3476.0,109.0,76.0,0.0,13.0,0.0,1674.0,162.0,55.0,5.0,166.0,91.0,484.0,2476.0,5224.0,0.0,373.0,117.0,1385.0,211.0,1923.0,249.0,1369.0,149,9908,2255,734,765,13811.0,13811.0,13811.0,13811.0,13811.0
367,Tamil Nadu,2008,14425.0,9043.0,5382.0,220.0,100.0,65.0,1372.0,120.0,105.0,130.0,207.0,264.0,387.0,3885.0,191.0,28.0,21.0,340.0,549.0,148.0,1732.0,3240.0,141.0,14.0,164.0,148.0,266.0,176.0,412.0,250,341,1564,2007,3873,3189,43,3158,1807.0,3055.0,1126.0,22.0,2209.0,3691.0,149.0,95.0,0.0,23.0,0.0,1685.0,198.0,64.0,22.0,188.0,91.0,512.0,2430.0,5033.0,558.0,388.0,117.0,1427.0,315.0,2021.0,258.0,1366.0,155,10348,2356,767,799,14425.0,14425.0,14425.0,14425.0,14425.0
368,Tamil Nadu,2009,14424.0,8950.0,5474.0,141.0,105.0,33.0,1142.0,64.0,15.0,62.0,238.0,223.0,40.0,4263.0,0.0,20.0,13.0,490.0,423.0,82.0,3491.0,2439.0,85.0,17.0,317.0,98.0,72.0,177.0,374.0,252,336,1466,2677,3981,2615,375,2722,4483.0,0.0,855.0,5.0,2064.0,3408.0,79.0,124.0,386.0,38.0,0.0,2123.0,203.0,92.0,40.0,365.0,159.0,1060.0,2763.0,4134.0,328.0,372.0,214.0,831.0,253.0,1739.0,456.0,1986.0,132,10275,2490,946,581,14424.0,14424.0,14424.0,14136.0,14424.0
369,Tamil Nadu,2010,16561.0,10552.0,6009.0,222.0,97.0,28.0,1014.0,51.0,30.0,90.0,204.0,240.0,74.0,5795.0,4.0,7.0,25.0,539.0,588.0,78.0,2788.0,2901.0,90.0,6.0,475.0,123.0,678.0,152.0,262.0,211,424,1673,2192,4369,3394,122,4176,2488.0,3414.0,1139.0,37.0,2488.0,4353.0,72.0,96.0,159.0,40.0,0.0,1411.0,309.0,25.0,163.0,175.0,192.0,541.0,2667.0,6913.0,263.0,341.0,132.0,1080.0,180.0,1735.0,637.0,2072.0,253,11450,2992,1154,712,16561.0,16561.0,16561.0,16561.0,16561.0
