,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
408,Tripura,2001,854.0,463.0,391.0,0.0,18.0,9.0,79.0,17.0,7.0,0.0,0.0,34.0,0.0,382.0,0.0,5.0,0.0,28.0,68.0,0.0,152.0,21.0,13.0,0.0,16.0,0.0,0.0,5.0,0.0,0,0,11,28,199,169,3,444,120.0,310.0,15.0,0.0,0.0,351.0,0.0,0.0,1.0,1.0,0.0,44.0,0.0,10.0,0.0,1.0,1.0,41.0,71.0,536.0,13.0,3.0,0.0,51.0,0.0,15.0,70.0,54.0,16,520,253,34,31,854.0,854.0,854.0,854.0,854.0
409,Tripura,2002,779.0,493.0,286.0,0.0,14.0,7.0,116.0,5.0,16.0,12.0,0.0,19.0,0.0,139.0,1.0,0.0,6.0,40.0,79.0,15.0,194.0,37.0,10.0,0.0,4.0,11.0,0.0,51.0,3.0,4,5,24,48,200,236,1,261,218.0,106.0,10.0,0.0,0.0,285.0,0.0,0.0,0.0,1.0,154.0,0.0,2.0,0.0,1.0,0.0,2.0,41.0,104.0,343.0,40.0,32.0,4.0,46.0,34.0,35.0,38.0,58.0,15,356,279,66,63,779.0,779.0,779.0,775.0,779.0
410,Tripura,2003,844.0,488.0,356.0,7.0,11.0,5.0,18.0,4.0,7.0,44.0,3.0,22.0,5.0,327.0,0.0,0.0,0.0,3.0,190.0,5.0,27.0,5.0,0.0,0.0,69.0,5.0,4.0,18.0,65.0,4,18,79,224,107,213,0,199,142.0,257.0,23.0,0.0,1.0,283.0,0.0,0.0,1.0,1.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,4.0,120.0,49.0,7.0,45.0,8.0,16.0,28.0,27.0,230.0,310.0,4,514,311,8,7,844.0,844.0,844.0,844.0,844.0
411,Tripura,2004,770.0,433.0,337.0,18.0,14.0,17.0,37.0,9.0,26.0,15.0,10.0,52.0,11.0,229.0,10.0,18.0,0.0,12.0,101.0,11.0,45.0,21.0,12.0,14.0,28.0,8.0,14.0,13.0,25.0,8,8,50,120,231,98,10,245,125.0,152.0,62.0,1.0,12.0,272.0,0.0,3.0,0.0,0.0,0.0,122.0,1.0,0.0,0.0,0.0,20.0,15.0,152.0,144.0,31.0,4.0,0.0,33.0,11.0,14.0,110.0,256.0,8,384,325,8,45,770.0,770.0,770.0,770.0,770.0
412,Tripura,2005,715.0,401.0,314.0,40.0,41.0,0.0,69.0,0.0,3.0,72.0,5.0,32.0,15.0,132.0,19.0,10.0,0.0,42.0,38.0,0.0,88.0,42.0,2.0,0.0,7.0,10.0,6.0,29.0,13.0,6,9,25,94,223,138,1,219,2.0,287.0,0.0,3.0,35.0,355.0,0.0,1.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,29.0,104.0,191.0,41.0,34.0,14.0,62.0,33.0,48.0,69.0,90.0,36,364,226,18,71,715.0,715.0,715.0,715.0,715.0
413,Tripura,2006,765.0,428.0,337.0,8.0,0.0,0.0,298.0,6.0,0.0,60.0,2.0,23.0,0.0,117.0,0.0,5.0,0.0,14.0,33.0,0.0,151.0,17.0,7.0,0.0,0.0,2.0,5.0,12.0,5.0,1,1,33,139,195,174,0,222,12.0,268.0,23.0,3.0,0.0,363.0,0.0,0.0,0.0,0.0,0.0,89.0,6.0,0.0,0.0,0.0,1.0,7.0,133.0,431.0,7.0,6.0,0.0,18.0,10.0,7.0,84.0,62.0,0,383,340,0,42,765.0,765.0,765.0,765.0,765.0
414,Tripura,2007,705.0,419.0,286.0,7.0,3.0,6.0,304.0,16.0,0.0,56.0,0.0,33.0,0.0,180.0,0.0,0.0,0.0,5.0,39.0,0.0,0.0,32.0,0.0,0.0,0.0,5.0,6.0,13.0,0.0,1,0,45,126,189,151,0,193,43.0,207.0,0.0,7.0,46.0,383.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,392.0,0.0,0.0,2.0,63.0,33.0,8.0,70.0,44.0,0,517,167,0,21,705.0,705.0,705.0,705.0,705.0
415,Tripura,2008,752.0,442.0,310.0,0.0,0.0,1.0,65.0,0.0,0.0,9.0,0.0,15.0,0.0,337.0,0.0,0.0,0.0,8.0,84.0,0.0,172.0,21.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0,0,23,52,142,300,43,1,191,175.0,137.0,0.0,2.0,56.0,364.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,50.0,130.0,270.0,0.0,2.0,0.0,18.0,15.0,25.0,91.0,151.0,0,584,159,0,9,752.0,752.0,752.0,752.0,752.0
416,Tripura,2009,738.0,467.0,271.0,8.0,1.0,6.0,174.0,0.0,0.0,23.0,8.0,13.0,0.0,236.0,0.0,1.0,0.0,41.0,66.0,0.0,70.0,40.0,1.0,0.0,8.0,7.0,8.0,17.0,10.0,0,7,24,162,374,22,0,149,28.0,276.0,8.0,3.0,33.0,379.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,45.0,176.0,263.0,20.0,2.0,0.0,75.0,19.0,19.0,89.0,29.0,0,509,210,3,16,738.0,738.0,738.0,737.0,738.0
417,Tripura,2010,725.0,441.0,284.0,26.0,0.0,8.0,177.0,0.0,0.0,36.0,5.0,10.0,0.0,246.0,0.0,2.0,0.0,41.0,55.0,4.0,33.0,36.0,2.0,0.0,5.0,2.0,3.0,19.0,15.0,0,15,9,123,370,32,0,176,37.0,248.0,7.0,1.0,54.0,361.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,58.0,194.0,149.0,30.0,0.0,11.0,87.0,19.0,30.0,106.0,41.0,0,524,192,0,9,725.0,725.0,725.0,725.0,725.0
