,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
420,Uttar Pradesh,2001,3516.0,1801.0,1715.0,31.0,38.0,34.0,619.0,24.0,20.0,388.0,76.0,81.0,36.0,903.0,6.0,41.0,12.0,143.0,143.0,69.0,230.0,211.0,14.0,26.0,74.0,22.0,63.0,104.0,108.0,16,113,403,673,829,706,16,760,629.0,453.0,161.0,98.0,500.0,1147.0,36.0,73.0,0.0,8.0,0.0,142.0,59.0,51.0,28.0,63.0,68.0,688.0,1075.0,600.0,41.0,46.0,11.0,139.0,57.0,312.0,211.0,336.0,33,2478,757,98,150,3516.0,3516.0,3516.0,3516.0,3516.0
421,Uttar Pradesh,2002,4250.0,2326.0,1924.0,63.0,33.0,25.0,1056.0,11.0,27.0,368.0,88.0,91.0,84.0,1075.0,4.0,14.0,7.0,180.0,148.0,38.0,228.0,302.0,7.0,26.0,100.0,24.0,76.0,114.0,61.0,28,101,404,805,818,1124,20,950,607.0,464.0,225.0,129.0,625.0,1259.0,17.0,24.0,80.0,12.0,429.0,0.0,82.0,77.0,19.0,131.0,70.0,525.0,1103.0,1442.0,35.0,36.0,14.0,137.0,30.0,227.0,216.0,485.0,69,2792,988,98,303,4250.0,4250.0,4250.0,4250.0,4250.0
422,Uttar Pradesh,2003,3663.0,1987.0,1676.0,39.0,27.0,17.0,894.0,8.0,23.0,291.0,85.0,105.0,51.0,828.0,5.0,24.0,52.0,133.0,165.0,42.0,230.0,225.0,5.0,14.0,68.0,29.0,79.0,81.0,143.0,41,116,473,620,670,1036,20,687,554.0,507.0,181.0,130.0,546.0,1046.0,69.0,0.0,59.0,16.0,0.0,262.0,61.0,56.0,41.0,94.0,41.0,387.0,1073.0,845.0,117.0,62.0,38.0,163.0,60.0,248.0,216.0,454.0,47,2491,898,66,161,3663.0,3663.0,3663.0,3663.0,3663.0
423,Uttar Pradesh,2004,3637.0,1954.0,1683.0,59.0,20.0,30.0,974.0,9.0,12.0,338.0,94.0,143.0,40.0,630.0,9.0,11.0,18.0,90.0,150.0,36.0,384.0,248.0,8.0,16.0,65.0,30.0,47.0,94.0,82.0,66,98,503,754,648,778,26,764,581.0,389.0,187.0,152.0,455.0,1076.0,0.0,26.0,70.0,5.0,0.0,189.0,107.0,93.0,6.0,233.0,68.0,496.0,1090.0,848.0,87.0,120.0,21.0,127.0,32.0,228.0,201.0,387.0,38,2480,874,90,155,3637.0,3637.0,3637.0,3637.0,3637.0
424,Uttar Pradesh,2005,3449.0,1772.0,1677.0,56.0,53.0,26.0,1020.0,11.0,18.0,284.0,91.0,93.0,37.0,523.0,2.0,12.0,10.0,94.0,136.0,59.0,260.0,291.0,12.0,19.0,41.0,26.0,47.0,125.0,103.0,30,74,338,592,568,899,19,929,365.0,304.0,227.0,156.0,459.0,1061.0,68.0,0.0,114.0,4.0,0.0,244.0,121.0,57.0,13.0,195.0,61.0,522.0,1014.0,695.0,64.0,124.0,9.0,228.0,48.0,259.0,219.0,267.0,36,2409,783,83,138,3449.0,3449.0,3449.0,3449.0,3449.0
425,Uttar Pradesh,2006,3099.0,1761.0,1338.0,66.0,39.0,44.0,674.0,4.0,18.0,316.0,89.0,121.0,26.0,467.0,9.0,10.0,29.0,120.0,130.0,58.0,396.0,198.0,13.0,12.0,44.0,18.0,28.0,105.0,65.0,70,82,330,476,666,827,35,613,404.0,284.0,207.0,108.0,269.0,821.0,44.0,50.0,93.0,5.0,0.0,438.0,67.0,106.0,0.0,127.0,76.0,411.0,710.0,896.0,87.0,47.0,7.0,169.0,147.0,213.0,171.0,241.0,25,2053,813,104,104,3099.0,3099.0,3099.0,3099.0,3099.0
426,Uttar Pradesh,2007,3927.0,2054.0,1873.0,35.0,36.0,37.0,995.0,14.0,21.0,378.0,117.0,134.0,44.0,605.0,2.0,12.0,29.0,140.0,182.0,53.0,418.0,358.0,7.0,7.0,71.0,22.0,54.0,121.0,35.0,70,89,514,682,775,997,28,772,489.0,343.0,198.0,137.0,531.0,1327.0,88.0,0.0,86.0,2.0,0.0,227.0,65.0,138.0,18.0,219.0,59.0,486.0,974.0,1205.0,102.0,46.0,6.0,155.0,53.0,234.0,274.0,367.0,55,2558,972,160,182,3927.0,3927.0,3927.0,3902.0,3927.0
427,Uttar Pradesh,2008,4088.0,2179.0,1909.0,28.0,42.0,45.0,979.0,8.0,23.0,412.0,138.0,130.0,55.0,800.0,1.0,15.0,33.0,177.0,144.0,39.0,458.0,291.0,9.0,11.0,52.0,1.0,44.0,98.0,55.0,53,101,469,675,771,1130,46,843,633.0,378.0,360.0,162.0,469.0,1204.0,68.0,0.0,66.0,12.0,0.0,265.0,112.0,74.0,29.0,153.0,103.0,745.0,1105.0,1027.0,31.0,54.0,6.0,203.0,44.0,233.0,354.0,286.0,45,2815,978,71,179,4088.0,4088.0,4088.0,4088.0,4088.0
428,Uttar Pradesh,2009,4158.0,2239.0,1919.0,29.0,71.0,21.0,1231.0,18.0,15.0,438.0,101.0,92.0,78.0,673.0,0.0,15.0,8.0,140.0,226.0,58.0,258.0,376.0,13.0,32.0,31.0,33.0,57.0,82.0,62.0,66,155,586,735,824,978,39,775,660.0,306.0,316.0,142.0,525.0,1253.0,32.0,77.0,77.0,6.0,0.0,345.0,80.0,44.0,35.0,176.0,84.0,656.0,1006.0,1128.0,23.0,73.0,15.0,144.0,49.0,347.0,346.0,371.0,57,2854,933,92,222,4158.0,4158.0,4158.0,4158.0,4158.0
429,Uttar Pradesh,2010,3628.0,1787.0,1841.0,19.0,53.0,21.0,829.0,2.0,12.0,532.0,87.0,107.0,59.0,700.0,4.0,20.0,1.0,215.0,216.0,45.0,221.0,240.0,2.0,7.0,45.0,8.0,38.0,113.0,32.0,48,150,564,691,602,884,35,654,332.0,435.0,210.0,146.0,547.0,1133.0,42.0,0.0,56.0,27.0,0.0,222.0,101.0,52.0,20.0,191.0,114.0,548.0,1005.0,803.0,67.0,22.0,16.0,191.0,113.0,258.0,317.0,288.0,59,2337,979,104,149,3628.0,3628.0,3628.0,3628.0,3628.0
