,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
432,Uttarakhand,2001,311.0,182.0,129.0,5.0,0.0,0.0,85.0,0.0,0.0,13.0,8.0,9.0,0.0,17.0,48.0,15.0,0.0,8.0,11.0,0.0,0.0,40.0,16.0,0.0,0.0,4.0,0.0,2.0,2.0,28.0,6,9,26,104,70,36,2,58,100.0,28.0,35.0,3.0,20.0,60.0,1.0,0.0,3.0,0.0,0.0,30.0,11.0,2.0,2.0,11.0,5.0,21.0,64.0,59.0,0.0,2.0,2.0,8.0,20.0,82.0,21.0,32.0,4,218,80,3,6,311.0,311.0,311.0,311.0,311.0
433,Uttarakhand,2002,361.0,205.0,156.0,42.0,1.0,0.0,126.0,0.0,0.0,3.0,1.0,5.0,1.0,98.0,5.0,0.0,6.0,8.0,10.0,1.0,0.0,24.0,15.0,0.0,0.0,2.0,4.0,2.0,4.0,3.0,3,17,65,58,73,71,0,74,168.0,23.0,31.0,1.0,35.0,66.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,3.0,21.0,2.0,34.0,119.0,102.0,4.0,1.0,5.0,8.0,7.0,27.0,9.0,45.0,4,256,89,2,10,361.0,361.0,361.0,361.0,361.0
434,Uttarakhand,2003,391.0,262.0,129.0,12.0,1.0,1.0,148.0,0.0,0.0,14.0,2.0,10.0,1.0,116.0,2.0,1.0,0.0,18.0,19.0,0.0,0.0,9.0,10.0,0.0,0.0,13.0,1.0,0.0,4.0,9.0,0,8,64,74,72,45,3,125,97.0,78.0,20.0,8.0,12.0,80.0,0.0,6.0,0.0,0.0,0.0,6.0,5.0,5.0,65.0,3.0,6.0,41.0,81.0,76.0,10.0,7.0,1.0,11.0,15.0,75.0,17.0,55.0,6,246,121,4,14,391.0,391.0,391.0,389.0,391.0
435,Uttarakhand,2004,237.0,148.0,89.0,15.0,0.0,0.0,91.0,0.0,0.0,12.0,2.0,9.0,0.0,58.0,1.0,1.0,0.0,20.0,6.0,0.0,3.0,1.0,6.0,1.0,0.0,3.0,0.0,0.0,2.0,6.0,2,14,37,47,46,42,4,45,69.0,33.0,29.0,3.0,21.0,61.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,8.0,0.0,0.0,0.0,22.0,63.0,71.0,1.0,0.0,1.0,8.0,7.0,21.0,16.0,27.0,5,154,60,4,14,237.0,237.0,237.0,237.0,237.0
436,Uttarakhand,2005,273.0,180.0,93.0,9.0,1.0,3.0,38.0,0.0,1.0,10.0,13.0,9.0,37.0,66.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,29.0,12.0,2.0,0.0,2.0,0.0,0.0,3.0,14.0,0,15,48,58,62,34,2,54,48.0,66.0,7.0,1.0,24.0,77.0,0.0,2.0,1.0,0.0,0.0,16.0,6.0,6.0,5.0,11.0,3.0,24.0,67.0,51.0,10.0,7.0,3.0,26.0,7.0,20.0,14.0,44.0,3,160,91,3,16,273.0,273.0,273.0,273.0,273.0
437,Uttarakhand,2006,326.0,173.0,153.0,18.0,11.0,8.0,43.0,1.0,1.0,9.0,12.0,7.0,7.0,92.0,0.0,2.0,0.0,26.0,6.0,0.0,8.0,20.0,18.0,4.0,1.0,13.0,1.0,0.0,12.0,6.0,7,11,46,70,65,69,4,54,87.0,32.0,33.0,1.0,26.0,95.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,17.0,8.0,5.0,8.0,51.0,86.0,62.0,9.0,12.0,4.0,23.0,14.0,27.0,14.0,24.0,16,180,87,14,29,326.0,326.0,326.0,326.0,326.0
438,Uttarakhand,2007,248.0,130.0,118.0,10.0,10.0,0.0,63.0,2.0,1.0,10.0,9.0,4.0,3.0,60.0,0.0,1.0,0.0,21.0,10.0,0.0,6.0,8.0,11.0,0.0,0.0,3.0,3.0,0.0,6.0,7.0,3,11,27,61,51,44,3,48,51.0,34.0,18.0,1.0,19.0,80.0,0.0,1.0,0.0,0.0,0.0,23.0,10.0,11.0,0.0,0.0,0.0,28.0,67.0,36.0,5.0,19.0,0.0,12.0,7.0,31.0,15.0,26.0,11,150,56,8,23,248.0,248.0,248.0,246.0,248.0
439,Uttarakhand,2008,191.0,104.0,87.0,2.0,1.0,0.0,48.0,1.0,0.0,15.0,4.0,3.0,1.0,43.0,0.0,0.0,0.0,10.0,10.0,0.0,1.0,36.0,2.0,2.0,0.0,4.0,1.0,2.0,4.0,1.0,4,10,18,37,36,37,3,46,44.0,26.0,18.0,3.0,16.0,55.0,0.0,3.0,0.0,2.0,0.0,13.0,3.0,1.0,1.0,2.0,4.0,28.0,44.0,47.0,0.0,6.0,3.0,6.0,7.0,23.0,13.0,7.0,3,123,56,3,6,191.0,191.0,191.0,184.0,191.0
440,Uttarakhand,2009,342.0,202.0,140.0,10.0,4.0,0.0,41.0,3.0,3.0,22.0,14.0,8.0,6.0,53.0,0.0,1.0,0.0,31.0,31.0,0.0,3.0,53.0,33.0,2.0,0.0,7.0,6.0,1.0,9.0,1.0,2,14,51,73,63,66,0,73,73.0,28.0,39.0,4.0,34.0,76.0,3.0,0.0,1.0,0.0,0.0,58.0,11.0,3.0,0.0,11.0,1.0,30.0,75.0,0.0,34.0,8.0,62.0,10.0,8.0,39.0,40.0,36.0,2,233,92,9,6,342.0,342.0,342.0,342.0,342.0
441,Uttarakhand,2010,281.0,164.0,117.0,8.0,0.0,1.0,66.0,0.0,0.0,10.0,6.0,11.0,2.0,81.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,25.0,13.0,0.0,0.0,9.0,3.0,0.0,4.0,15.0,8,12,31,81,53,32,6,58,58.0,53.0,15.0,2.0,24.0,67.0,3.0,1.0,3.0,1.0,0.0,46.0,3.0,0.0,1.0,2.0,2.0,39.0,54.0,71.0,1.0,1.0,3.0,15.0,14.0,24.0,34.0,22.0,0,200,73,4,4,281.0,281.0,281.0,278.0,281.0
