,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
444,West Bengal,2001,13690.0,7495.0,6195.0,121.0,290.0,207.0,3727.0,143.0,26.0,265.0,169.0,493.0,104.0,2207.0,13.0,78.0,271.0,455.0,484.0,0.0,126.0,2539.0,728.0,160.0,19.0,35.0,46.0,437.0,327.0,220.0,341,410,865,1335,2875,3914,134,3816,1417.0,3036.0,654.0,43.0,515.0,3448.0,250.0,107.0,75.0,80.0,0.0,2329.0,148.0,406.0,69.0,916.0,197.0,1246.0,1555.0,5643.0,276.0,742.0,147.0,675.0,303.0,1420.0,814.0,869.0,512,7942,3881,488,867,13690.0,13690.0,13690.0,13690.0,13690.0
445,West Bengal,2002,13007.0,7124.0,5883.0,63.0,278.0,252.0,3559.0,111.0,33.0,286.0,112.0,547.0,88.0,2448.0,0.0,79.0,50.0,615.0,600.0,120.0,0.0,2177.0,663.0,85.0,9.0,57.0,87.0,242.0,331.0,115.0,235,265,912,1730,2897,3499,59,3410,1227.0,2559.0,682.0,49.0,494.0,3687.0,163.0,147.0,65.0,94.0,2799.0,0.0,101.0,237.0,73.0,459.0,171.0,1518.0,2294.0,4388.0,209.0,619.0,153.0,789.0,254.0,1166.0,667.0,950.0,345,7542,3690,421,1009,13007.0,13007.0,13007.0,13007.0,13007.0
446,West Bengal,2003,13280.0,7424.0,5856.0,100.0,278.0,154.0,1850.0,172.0,109.0,341.0,19.0,702.0,59.0,3838.0,10.0,59.0,0.0,836.0,1061.0,0.0,77.0,1759.0,828.0,47.0,27.0,23.0,108.0,444.0,328.0,51.0,75,504,1777,2511,3363,1887,29,3134,1438.0,3590.0,662.0,18.0,1110.0,4073.0,188.0,110.0,38.0,15.0,0.0,813.0,117.0,778.0,99.0,215.0,16.0,1036.0,4083.0,2346.0,389.0,1087.0,248.0,1010.0,230.0,832.0,1111.0,908.0,226,9192,3058,215,589,13280.0,13280.0,13280.0,13280.0,13280.0
447,West Bengal,2004,13424.0,7661.0,5763.0,90.0,129.0,214.0,3328.0,97.0,98.0,411.0,57.0,625.0,49.0,2828.0,0.0,47.0,32.0,581.0,884.0,0.0,29.0,2338.0,762.0,42.0,8.0,28.0,82.0,298.0,236.0,131.0,43,299,1554,1728,2929,2957,21,3893,542.0,4147.0,430.0,27.0,467.0,4339.0,40.0,67.0,40.0,15.0,0.0,2545.0,162.0,304.0,39.0,230.0,30.0,822.0,3352.0,4645.0,295.0,717.0,231.0,772.0,151.0,674.0,809.0,871.0,233,8687,3354,570,580,13424.0,13424.0,13424.0,13339.0,13424.0
448,West Bengal,2005,15015.0,8614.0,6401.0,134.0,148.0,179.0,2753.0,144.0,67.0,469.0,90.0,582.0,785.0,2833.0,2.0,35.0,17.0,735.0,1039.0,0.0,75.0,3209.0,623.0,45.0,5.0,23.0,143.0,568.0,237.0,75.0,266,365,1450,2119,3288,2903,17,4607,930.0,4921.0,474.0,16.0,812.0,5335.0,78.0,36.0,38.0,22.0,0.0,1581.0,89.0,418.0,8.0,205.0,52.0,965.0,4155.0,4371.0,352.0,517.0,227.0,1000.0,184.0,1364.0,731.0,1149.0,300,10530,3071,434,680,15015.0,15015.0,15015.0,15015.0,15015.0
449,West Bengal,2006,15725.0,9120.0,6605.0,68.0,194.0,204.0,1758.0,252.0,87.0,445.0,157.0,686.0,289.0,6147.0,13.0,100.0,16.0,1150.0,1533.0,0.0,57.0,57.0,786.0,64.0,51.0,12.0,186.0,1130.0,256.0,27.0,150,489,2647,3632,3564,1272,59,3912,2095.0,3964.0,719.0,27.0,971.0,6396.0,52.0,277.0,211.0,32.0,0.0,16.0,232.0,298.0,28.0,382.0,25.0,1189.0,5020.0,2185.0,776.0,855.0,343.0,1451.0,199.0,818.0,1141.0,1748.0,324,11900,2594,219,688,15725.0,15725.0,15725.0,15725.0,15725.0
450,West Bengal,2007,14860.0,8505.0,6355.0,93.0,253.0,156.0,3388.0,50.0,66.0,999.0,81.0,349.0,88.0,3232.0,0.0,43.0,38.0,1378.0,675.0,0.0,147.0,1677.0,738.0,26.0,11.0,68.0,207.0,271.0,345.0,481.0,39,376,1067,2079,3245,3136,41,4877,2888.0,2938.0,323.0,24.0,357.0,5169.0,209.0,21.0,62.0,14.0,0.0,1670.0,237.0,180.0,12.0,678.0,78.0,1102.0,3362.0,4956.0,266.0,739.0,111.0,1197.0,140.0,682.0,1138.0,1167.0,230,10014,3362,551,703,14860.0,14860.0,14860.0,14860.0,14860.0
451,West Bengal,2008,14852.0,8369.0,6483.0,79.0,141.0,186.0,3368.0,211.0,69.0,762.0,101.0,322.0,77.0,3085.0,0.0,45.0,0.0,1402.0,792.0,0.0,52.0,2556.0,581.0,48.0,28.0,54.0,89.0,211.0,249.0,344.0,44,319,1120,1937,3854,2413,44,5121,2316.0,3418.0,387.0,28.0,345.0,5359.0,53.0,6.0,68.0,38.0,0.0,1922.0,147.0,129.0,7.0,457.0,172.0,759.0,3244.0,5713.0,247.0,622.0,73.0,934.0,145.0,618.0,940.0,1557.0,176,9447,4424,193,612,14852.0,14852.0,14852.0,14852.0,14852.0
452,West Bengal,2009,14648.0,8494.0,6154.0,89.0,104.0,140.0,4051.0,71.0,56.0,726.0,69.0,275.0,149.0,3338.0,2.0,28.0,1.0,1357.0,812.0,0.0,64.0,1579.0,489.0,43.0,3.0,44.0,268.0,298.0,164.0,428.0,62,395,1006,2137,3803,2662,34,4549,1602.0,3668.0,402.0,25.0,361.0,5283.0,61.0,466.0,78.0,35.0,0.0,1880.0,76.0,123.0,39.0,479.0,70.0,1054.0,3305.0,4768.0,208.0,607.0,88.0,1338.0,239.0,816.0,870.0,1355.0,223,9654,3934,248,589,14648.0,14648.0,14648.0,14648.0,14648.0
453,West Bengal,2010,16037.0,9301.0,6736.0,96.0,129.0,71.0,4427.0,102.0,67.0,767.0,81.0,412.0,92.0,2882.0,6.0,23.0,1.0,1757.0,785.0,0.0,37.0,2683.0,466.0,63.0,6.0,43.0,100.0,262.0,217.0,462.0,97,327,1026,1867,3567,2119,49,6985,2158.0,2364.0,547.0,17.0,599.0,5058.0,113.0,278.0,77.0,56.0,0.0,3913.0,57.0,113.0,28.0,529.0,130.0,993.0,2928.0,7052.0,501.0,668.0,66.0,888.0,160.0,803.0,949.0,1029.0,211,10269,4707,335,515,16037.0,16037.0,16037.0,16037.0,16037.0
