,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
0,A & N Islands,2001,129.0,79.0,50.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0,0.0,0.0,14.0,4.0,0.0,17.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2,16,72,11,0,27,0.0,16.0,3.0,0.0,5.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,16.0,0.0,4.0,2.0,0.0,20.0,32.0,14.0,0.0,0,93,36,0,0,129.0,129.0,129.0,129.0,129.0
12,Andhra Pradesh,2001,10522.0,6379.0,4143.0,163.0,74.0,62.0,1018.0,81.0,15.0,202.0,25.0,147.0,109.0,2317.0,12.0,18.0,213.0,641.0,175.0,58.0,1460.0,2828.0,79.0,56.0,446.0,65.0,95.0,68.0,95.0,98,146,595,1267,2003,3774,27,2612,3571.0,1527.0,783.0,44.0,1106.0,2009.0,8.0,19.0,68.0,4.0,0.0,614.0,70.0,27.0,102.0,532.0,38.0,1509.0,2444.0,3357.0,431.0,120.0,26.0,568.0,196.0,780.0,470.0,621.0,90,8270,1410,333,419,10522.0,10522.0,10522.0,10522.0,10522.0
24,Arunachal Pradesh,2001,111.0,76.0,35.0,4.0,1.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,1,1,23,30,24,1,31,1.0,9.0,3.0,1.0,4.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,15.0,0.0,0.0,0.0,1.0,12.0,14.0,41.0,8.0,3.0,0,86,22,1,2,111.0,111.0,111.0,111.0,111.0
36,Assam,2001,2647.0,1836.0,811.0,0.0,9.0,10.0,698.0,10.0,7.0,13.0,8.0,76.0,32.0,278.0,0.0,16.0,0.0,53.0,402.0,1.0,230.0,90.0,7.0,6.0,176.0,3.0,184.0,2.0,336.0,3,27,156,377,741,532,0,811,40.0,524.0,263.0,2.0,6.0,1279.0,2.0,1.0,103.0,1.0,0.0,307.0,41.0,1.0,3.0,6.0,68.0,167.0,394.0,967.0,68.0,86.0,6.0,223.0,47.0,159.0,191.0,334.0,33,1507,897,147,63,2647.0,2647.0,2647.0,2642.0,2647.0
48,Bihar,2001,603.0,307.0,296.0,0.0,2.0,0.0,62.0,10.0,2.0,17.0,7.0,25.0,9.0,223.0,11.0,10.0,0.0,12.0,26.0,1.0,145.0,19.0,0.0,0.0,0.0,1.0,2.0,18.0,1.0,5,14,36,108,117,225,2,96,61.0,146.0,30.0,8.0,66.0,98.0,0.0,10.0,1.0,0.0,0.0,152.0,4.0,3.0,1.0,3.0,20.0,61.0,140.0,255.0,3.0,1.0,2.0,15.0,6.0,18.0,64.0,38.0,11,332,191,26,43,603.0,603.0,603.0,603.0,603.0
60,Chandigarh,2001,70.0,39.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,2,8,14,18,18,0,10,0.0,9.0,3.0,0.0,18.0,30.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,31.0,0.0,0.0,1.0,1.0,3.0,8.0,6.0,1.0,0,59,11,0,0,70.0,70.0,70.0,70.0,70.0
72,Chhattisgarh,2001,4025.0,2640.0,1385.0,83.0,13.0,11.0,1180.0,10.0,4.0,61.0,83.0,63.0,50.0,485.0,1.0,9.0,52.0,233.0,138.0,36.0,811.0,500.0,39.0,21.0,40.0,4.0,12.0,69.0,17.0,53,43,308,611,944,1021,9,1036,1000.0,375.0,116.0,4.0,335.0,1800.0,2.0,2.0,35.0,5.0,0.0,198.0,57.0,8.0,2.0,65.0,21.0,1452.0,606.0,1017.0,36.0,65.0,13.0,68.0,70.0,177.0,229.0,218.0,16,2993,830,17,169,4025.0,4025.0,4025.0,3951.0,4025.0
84,D & N Haveli,2001,50.0,35.0,15.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0,7,5,25,0,13,0.0,12.0,0.0,0.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0,40,10,0,0,50.0,50.0,50.0,50.0,50.0
96,Daman & Diu,2001,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,5,5,0,1,2,0.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0,8,6,0,0,14.0,14.0,14.0,13.0,14.0
108,Delhi (Ut),2001,1239.0,730.0,509.0,37.0,7.0,3.0,458.0,11.0,1.0,30.0,18.0,23.0,6.0,326.0,2.0,2.0,4.0,17.0,28.0,8.0,52.0,68.0,2.0,4.0,63.0,9.0,9.0,5.0,46.0,10,26,128,243,372,244,4,212,119.0,187.0,16.0,24.0,190.0,581.0,9.0,9.0,9.0,0.0,0.0,61.0,14.0,2.0,12.0,3.0,3.0,18.0,327.0,314.0,12.0,20.0,1.0,23.0,31.0,160.0,104.0,229.0,1,873,316,28,21,1239.0,1239.0,1239.0,1239.0,1239.0
