,State,Year,Total,Male,Female,Causes_Bankruptcy or Sudden change in Economic Status,Causes_Cancellation/Non-Settlement of Marriage,Causes_Cancer,Causes_Causes Not known,Causes_Death of Dear Person,Causes_Divorce,Causes_Dowry Dispute,Causes_Drug Abuse/Addiction,Causes_Failure in Examination,Causes_Fall in Social Reputation,Causes_Family Problems,Causes_Ideological Causes/Hero Worshipping,Causes_Illegitimate Pregnancy,Causes_Illness (Aids/STD),Causes_Insanity/Mental Illness,Causes_Love Affairs,Causes_Not having Children (Barrenness/Impotency,Causes_Not having Children(Barrenness/Impotency,Causes_Other Causes (Please Specity),Causes_Other Prolonged Illness,Causes_Paralysis,Causes_Physical Abuse (Rape/Incest Etc.),Causes_Poverty,Causes_Professional/Career Problem,Causes_Property Dispute,Causes_Suspected/Illicit Relation,Causes_Unemployment,Education_Status_Diploma,Education_Status_Graduate,Education_Status_Hr. Secondary/Intermediate/Pre-Universit,Education_Status_Matriculate/Secondary,Education_Status_Middle,Education_Status_No Education,Education_Status_Post Graduate and Above,Education_Status_Primary,Means_adopted_By Consuming Insecticides,Means_adopted_By Consuming Other Poison,Means_adopted_By Drowning,Means_adopted_By Fire-Arms,Means_adopted_By Fire/Self Immolation,Means_adopted_By Hanging,Means_adopted_By Jumping from (Building),Means_adopted_By Jumping from (Other sites),Means_adopted_By Jumping off Moving Vehicles/Trains,Means_adopted_By Machine,Means_adopted_By Other means,Means_adopted_By Other means (please specify),Means_adopted_By Over Alcoholism,Means_adopted_By Overdose of sleeping pills,Means_adopted_By Self Infliction of injury,Means_adopted_By coming under running vehicles/trains,Means_adopted_By touching electric wires,Professional_Profile_Farming/Agriculture Activity,Professional_Profile_House Wife,Professional_Profile_Others (Please Specify),Professional_Profile_Professional Activity,Professional_Profile_Public Sector Undertaking,Professional_Profile_Retired Person,Professional_Profile_Self-employed (Business activity),Professional_Profile_Service (Government),Professional_Profile_Service (Private),Professional_Profile_Student,Professional_Profile_Unemployed,Social_Status_Divorcee,Social_Status_Married,Social_Status_Never Married,Social_Status_Seperated,Social_Status_Widowed/Widower,Total_Causes,Total_Education_Status,Total_Means_adopted,Total_Professional_Profile,Total_Social_Status
11,A & N Islands,2012,121.0,80.0,41.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,39.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0,3,34,64,0,0,20,3.0,5.0,2.0,0.0,6.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,7.0,0.0,0.0,1.0,0.0,21.0,50.0,9.0,5.0,0,82,39,0,0,121.0,121.0,121.0,121.0,121.0
23,Andhra Pradesh,2012,14238.0,9527.0,4711.0,906.0,86.0,134.0,1216.0,104.0,30.0,195.0,164.0,168.0,98.0,2651.0,35.0,9.0,145.0,1162.0,305.0,0.0,93.0,2107.0,2629.0,162.0,36.0,1096.0,86.0,273.0,136.0,212.0,138,528,874,1932,2739,4941,57,3029,3538.0,2544.0,877.0,15.0,1336.0,3106.0,84.0,34.0,6.0,3.0,0.0,1118.0,188.0,149.0,90.0,1101.0,49.0,2572.0,2143.0,5076.0,365.0,331.0,84.0,751.0,137.0,1453.0,559.0,767.0,192,11443,1821,311,471,14238.0,14238.0,14238.0,14238.0,14238.0
35,Arunachal Pradesh,2012,130.0,100.0,30.0,3.0,2.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,34.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,2,4,26,27,30,6,35,7.0,1.0,14.0,1.0,1.0,81.0,0.0,0.0,0.0,0.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,11.0,19.0,26.0,0.0,2.0,0.0,0.0,9.0,30.0,13.0,16.0,1,93,34,0,2,130.0,130.0,130.0,126.0,130.0
47,Assam,2012,3264.0,2392.0,872.0,7.0,7.0,34.0,1002.0,22.0,6.0,1.0,16.0,149.0,78.0,379.0,4.0,11.0,8.0,38.0,494.0,0.0,8.0,148.0,302.0,22.0,2.0,219.0,5.0,228.0,25.0,49.0,44,60,475,744,982,388,2,569,57.0,358.0,263.0,7.0,74.0,1813.0,11.0,23.0,54.0,4.0,0.0,368.0,26.0,23.0,18.0,70.0,95.0,344.0,403.0,1443.0,125.0,116.0,4.0,353.0,54.0,133.0,221.0,68.0,46,2179,890,88,61,3264.0,3264.0,3264.0,3264.0,3264.0
59,Bihar,2012,759.0,455.0,304.0,0.0,0.0,0.0,157.0,0.0,1.0,15.0,10.0,26.0,4.0,80.0,11.0,1.0,3.0,51.0,60.0,0.0,1.0,287.0,26.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,5,24,64,181,144,178,19,144,121.0,49.0,60.0,3.0,48.0,141.0,10.0,3.0,2.0,0.0,0.0,275.0,17.0,6.0,6.0,2.0,16.0,68.0,130.0,439.0,1.0,0.0,1.0,3.0,15.0,24.0,64.0,14.0,0,514,177,36,32,759.0,759.0,759.0,759.0,759.0
71,Chandigarh,2012,114.0,75.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,0,17,14,54,15,8,0,6,0.0,13.0,1.0,2.0,16.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,5.0,0.0,3.0,8.0,29.0,17.0,13.0,1,67,46,0,0,114.0,114.0,114.0,111.0,114.0
83,Chhattisgarh,2012,5654.0,4014.0,1640.0,7.0,8.0,6.0,1753.0,19.0,5.0,38.0,240.0,56.0,9.0,778.0,2.0,0.0,56.0,241.0,94.0,0.0,10.0,1762.0,462.0,10.0,18.0,8.0,27.0,9.0,19.0,17.0,54,96,296,769,1612,1318,47,1462,850.0,439.0,200.0,11.0,446.0,2409.0,2.0,1.0,1.0,1.0,0.0,908.0,139.0,0.0,48.0,142.0,57.0,4.0,779.0,3384.0,229.0,10.0,17.0,110.0,66.0,406.0,290.0,359.0,56,3749,1541,94,214,5654.0,5654.0,5654.0,5654.0,5654.0
95,D & N Haveli,2012,66.0,41.0,25.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,6.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4,6,14,17,0,23,0.0,5.0,1.0,0.0,2.0,44.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,6.0,0.0,0.0,0.0,3.0,0.0,28.0,6.0,4.0,1,44,20,1,0,66.0,66.0,66.0,66.0,66.0
107,Daman & Diu,2012,36.0,25.0,11.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,9,12,4,2,8,0.0,4.0,8.0,0.0,5.0,13.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,0,16,19,1,0,36.0,36.0,36.0,36.0,36.0
119,Delhi (Ut),2012,1899.0,1246.0,653.0,22.0,11.0,1.0,684.0,7.0,5.0,61.0,45.0,87.0,21.0,418.0,0.0,0.0,0.0,32.0,88.0,0.0,2.0,146.0,100.0,6.0,0.0,49.0,8.0,9.0,13.0,84.0,6,100,306,537,433,255,12,250,12.0,242.0,14.0,21.0,56.0,1332.0,18.0,12.0,10.0,1.0,0.0,106.0,29.0,6.0,21.0,15.0,4.0,21.0,355.0,470.0,10.0,41.0,17.0,44.0,25.0,280.0,266.0,369.0,3,1198,621,63,14,1899.0,1899.0,1899.0,1898.0,1899.0
